"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",8.15881430495508e-14,104,2.29307389309057e-11
"328","hsa05020","Prion disease - Homo sapiens (human)",1.36087471400034e-13,235,2.29307389309057e-11
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.74303544696585e-11,169,1.9580098187583e-09
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.51126635658844e-10,211,1.27324190542576e-08
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",4.12504654563676e-10,72,2.78028137175918e-08
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.19234814924044e-08,391,6.69702210490049e-07
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.93142348276423e-08,241,9.29842448130778e-07
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",3.36614229584852e-08,51,1.41798744212619e-06
"344","hsa04950","Maturity onset diabetes of the young - Homo sapiens (human)",1.59132741608908e-07,20,5.95863710246689e-06
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",2.11065579730451e-07,319,6.66468648913313e-06
"257","hsa04714","Thermogenesis - Homo sapiens (human)",2.17541695490992e-07,155,6.66468648913313e-06
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",2.87954957183155e-07,68,8.08673504756026e-06
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",3.15645764288624e-07,249,8.18250942809741e-06
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",6.25991030884024e-06,136,0.000150684983862797
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",3.09926258558308e-05,183,0.000653424127932537
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",3.1023103996797e-05,64,0.000653424127932537
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",9.41119089567665e-05,93,0.00186563019520178
"87","hsa00900","Terpenoid backbone biosynthesis - Homo sapiens (human)",0.000205335194643597,19,0.00384433114416068
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.000308395334069374,87,0.00546995934638836
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.000977485016697555,121,0.0164706225313538
"173","hsa04814","Motor proteins - Homo sapiens (human)",0.00144011029114037,87,0.0231103413387764
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",0.00162370477371974,73,0.0248722049428888
"316","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",0.00176603377918692,40,0.0258762340689562
"47","hsa00310","Lysine degradation - Homo sapiens (human)",0.00185106046429794,50,0.0259919740195169
"24","hsa00910","Nitrogen metabolism - Homo sapiens (human)",0.00219390507100994,4,0.029573840357214
"15","hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)",0.00605514356643701,22,0.0784839762265105
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.010967997714669,29,0.134277840333051
"171","hsa04540","Gap junction - Homo sapiens (human)",0.0115502414108024,84,0.134277840333051
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",0.0115998933147971,67,0.134277840333051
"251","hsa04360","Axon guidance - Homo sapiens (human)",0.0119535169435951,149,0.134277840333051
"196","hsa04911","Insulin secretion - Homo sapiens (human)",0.0144700779861791,62,0.157303751011044
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.0156713451613312,127,0.165038853730269
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",0.0197162025760025,28,0.195334674204248
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.0198556050392466,32,0.195334674204248
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.0202896764687463,66,0.195334674204248
