"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"328","hsa05020","Prion disease - Homo sapiens (human)",2.02345293114303e-21,235,6.81903637795202e-19
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.43956008426505e-19,72,2.4256587419866e-17
"40","hsa00230","Purine metabolism - Homo sapiens (human)",4.25894595195917e-18,100,4.7842159527008e-16
"324","hsa05012","Parkinson disease - Homo sapiens (human)",2.27090466828181e-16,211,1.91323718302742e-14
"171","hsa04540","Gap junction - Homo sapiens (human)",3.9179453314737e-16,84,2.64069515341328e-14
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.9832857859601e-15,104,1.11394551644759e-13
"257","hsa04714","Thermogenesis - Homo sapiens (human)",4.96327788466977e-15,155,2.23024412043095e-13
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",5.29434806037021e-15,249,2.23024412043095e-13
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.75570669744519e-14,319,6.57414618932253e-13
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",4.49087368457665e-14,391,1.51342443170233e-12
"326","hsa05016","Huntington disease - Homo sapiens (human)",9.71818798313061e-14,241,2.97729940937729e-12
"196","hsa04911","Insulin secretion - Homo sapiens (human)",1.47685154147077e-12,62,4.14749141229709e-11
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.65262258328584e-12,93,4.28410623513328e-11
"143","hsa04024","cAMP signaling pathway - Homo sapiens (human)",1.95058328782923e-12,166,4.42285152174328e-11
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",1.96862827377297e-12,64,4.42285152174328e-11
"32","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",1.44238138674523e-11,46,3.03801579583213e-10
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",1.11341747376209e-10,121,2.20718640386955e-09
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",2.03602371245924e-09,201,3.81188883943758e-08
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",3.6379438982481e-09,37,6.4525636511032e-08
"33","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",5.82808309604482e-09,71,9.82032001683552e-08
"47","hsa00310","Lysine degradation - Homo sapiens (human)",7.99833639377702e-09,50,1.24046591930971e-07
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",8.0979970993512e-09,135,1.24046591930971e-07
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",3.9156897967132e-08,68,5.73733678909716e-07
"154","hsa04145","Phagosome - Homo sapiens (human)",5.33174733496515e-08,94,7.20161776845105e-07
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",5.34244641576487e-08,82,7.20161776845105e-07
"221","hsa04270","Vascular smooth muscle contraction - Homo sapiens (human)",5.82727045707734e-08,118,7.55303901551948e-07
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",6.6922919508117e-08,77,8.35297180527238e-07
"223","hsa04971","Gastric acid secretion - Homo sapiens (human)",8.28047581990987e-08,59,9.75517243174188e-07
"203","hsa04912","GnRH signaling pathway - Homo sapiens (human)",8.39465876915473e-08,84,9.75517243174188e-07
"222","hsa04970","Salivary secretion - Homo sapiens (human)",8.95553618535725e-08,58,1.00600523148846e-06
"224","hsa04972","Pancreatic secretion - Homo sapiens (human)",9.56083468199498e-08,67,1.03935525413945e-06
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",2.555781901009e-07,169,2.6915578145001e-06
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",3.04867454074471e-07,73,3.1133433946393e-06
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",6.99078193445234e-07,25,6.92909856444246e-06
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",1.46224720220067e-06,88,1.40793516326179e-05
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",2.39140802078833e-06,10,2.19422173190393e-05
"334","hsa05034","Alcoholism - Homo sapiens (human)",2.40908617449393e-06,88,2.19422173190393e-05
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",3.22202696879307e-06,34,2.85742918021912e-05
"243","hsa04730","Long-term depression - Homo sapiens (human)",3.38731283098508e-06,54,2.92698570267172e-05
"228","hsa04975","Fat digestion and absorption - Homo sapiens (human)",3.90333845470248e-06,27,3.28856264808684e-05
"29","hsa00100","Steroid biosynthesis - Homo sapiens (human)",4.20812300637848e-06,17,3.45887183695012e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",5.41882214401658e-06,38,4.34795967269902e-05
"34","hsa00565","Ether lipid metabolism - Homo sapiens (human)",7.35948079898241e-06,33,5.76777913780715e-05
"220","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",7.62065786516922e-06,123,5.83673113764097e-05
"332","hsa05032","Morphine addiction - Homo sapiens (human)",1.27462610196106e-05,56,9.5455332524639e-05
"218","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)",1.33775780953421e-05,49,9.80053003941365e-05
"141","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",1.49147008865607e-05,129,0.000106941578697254
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",1.65771924266199e-05,57,0.000116385705161894
"249","hsa04742","Taste transduction - Homo sapiens (human)",1.73819994920149e-05,24,0.000119545588343041
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.91425923398081e-05,87,0.000129021072370307
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",2.38269498924835e-05,44,0.000157444747328763
"330","hsa05030","Cocaine addiction - Homo sapiens (human)",2.60030604728207e-05,39,0.000168519834218088
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",3.05718094695943e-05,73,0.000194390562099119
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",3.6784735730551e-05,28,0.000229563998911031
"215","hsa04924","Renin secretion - Homo sapiens (human)",4.12494179325606e-05,55,0.000252746433514053
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",4.260129536215e-05,209,0.000256368509590082
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",5.03571685657017e-05,51,0.000297725715905991
"301","hsa05132","Salmonella infection - Homo sapiens (human)",5.84716474804605e-05,187,0.000339740434498538
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",8.06462659201603e-05,47,0.000460640535849051
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",8.74296000502631e-05,19,0.000484396044636818
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",8.76799962102253e-05,52,0.000484396044636818
"267","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",9.75245165570208e-05,80,0.000530092936769613
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",0.000117377115856896,183,0.000618147545910122
"211","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",0.000117393005751477,52,0.000618147545910122
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.000185706702148514,68,0.000962817824985371
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.00041781058986871,15,0.00213336619372357
"210","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",0.000453778008354714,107,0.00228243565396326
"177","hsa04611","Platelet activation - Homo sapiens (human)",0.000530833729695324,103,0.002630749513343
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.000580216427009526,110,0.00283381066524942
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.00060094769755875,69,0.00289313391538998
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.000637121009180099,38,0.00302408140977033
"241","hsa04726","Serotonergic synapse - Homo sapiens (human)",0.000655668046859153,80,0.00306889071932687
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",0.000704134994311961,109,0.00325059579565933
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.000841681115249578,15,0.00383306129512308
"170","hsa04530","Tight junction - Homo sapiens (human)",0.00093621971322882,145,0.00420674724477483
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",0.00118161333316361,136,0.00523952227994915
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.00143650719216554,169,0.00628705095791932
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",0.00154862372016703,109,0.0066908486371319
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.00157059788108096,15,0.00669989222688965
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.00190803379634086,92,0.00803759236708585
"25","hsa00920","Sulfur metabolism - Homo sapiens (human)",0.00212822732043838,10,0.00874889141191904
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.00212881037322659,29,0.00874889141191904
"148","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.00293296858518441,160,0.0119085591952668
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.00299031774819507,79,0.0119968700135921
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.00308859557697281,87,0.0122453730522334
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.00344687130848178,32,0.013400610759802
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.00345950485490439,44,0.013400610759802
"279","hsa05211","Renal cell carcinoma - Homo sapiens (human)",0.00590604468463557,66,0.0226174665763885
"338","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)",0.00679274329961454,56,0.0257208369884281
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.00814756078063195,13,0.0305080887008108
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",0.00836967575040875,87,0.0309953926141511
"250","hsa04750","Inflammatory mediator regulation of TRP channels - Homo sapiens (human)",0.00979363082299181,75,0.0358744955146548
"199","hsa04923","Regulation of lipolysis in adipocytes - Homo sapiens (human)",0.0113338683577053,52,0.0410054351231138
"202","hsa04929","GnRH secretion - Homo sapiens (human)",0.0115311952779504,47,0.0410054351231138
"24","hsa00910","Nitrogen metabolism - Homo sapiens (human)",0.0115593956578511,4,0.0410054351231138
"57","hsa00440","Phosphonate and phosphinate metabolism - Homo sapiens (human)",0.0118726395171956,5,0.0416779116384886
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.0150491294771694,78,0.0522840890083103
"27","hsa00062","Fatty acid elongation - Homo sapiens (human)",0.016336951770167,20,0.0561791096586353
"212","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)",0.018338876241477,90,0.0624262756906845
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",0.0196932677018254,178,0.0663663121551515
"205","hsa04915","Estrogen signaling pathway - Homo sapiens (human)",0.0223308103890469,91,0.0745097336743447
"118","hsa03265","Virion - Ebolavirus and Lyssavirus - Homo sapiens (human)",0.0269689770482147,3,0.0891033849534151
"302","hsa05131","Shigellosis - Homo sapiens (human)",0.0274544677351826,216,0.0898267536578304
"206","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",0.0294050539140621,76,0.0952307123084144
"109","hsa03410","Base excision repair - Homo sapiens (human)",0.0296712901851143,6,0.0952307123084144
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.0337907322019538,65,0.107429025962815
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.0380277423872259,99,0.118939512144698
"266","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.0381171136843543,63,0.118939512144698
"247","hsa04744","Phototransduction - Homo sapiens (human)",0.0393198107988107,24,0.121566754488066
"229","hsa04979","Cholesterol metabolism - Homo sapiens (human)",0.0464966071677713,24,0.142448696504899
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",0.0522500251863754,67,0.158632959349626
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.0543617405370638,66,0.162310371967866
"94","hsa03022","Basal transcription factors - Homo sapiens (human)",0.0544245460901153,4,0.162310371967866
"342","hsa04930","Type II diabetes mellitus - Homo sapiens (human)",0.0580090885364761,43,0.171483007340285
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",0.0591047296663692,280,0.172573367322515
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.0594021086332692,12,0.172573367322515
"231","hsa04978","Mineral absorption - Homo sapiens (human)",0.0615004923878059,11,0.177142443886244
"38","hsa00592","alpha-Linolenic acid metabolism - Homo sapiens (human)",0.0746581585005618,18,0.213218639107537
"81","hsa00785","Lipoic acid metabolism - Homo sapiens (human)",0.0809446737818749,3,0.229229874491528
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.08473680832538,48,0.237969203380442
"124","hsa04014","Ras signaling pathway - Homo sapiens (human)",0.0937768611298256,194,0.261180183477283
"209","hsa04926","Relaxin signaling pathway - Homo sapiens (human)",0.108254667117153,108,0.297680373406239
"49","hsa00330","Arginine and proline metabolism - Homo sapiens (human)",0.110600342266279,40,0.297680373406239
"96","hsa03010","Ribosome - Homo sapiens (human)",0.111048595915077,4,0.297680373406239
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",0.111249355361373,114,0.297680373406239
"349","hsa04934","Cushing syndrome - Homo sapiens (human)",0.111298893321027,122,0.297680373406239
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",0.120080768929862,36,0.318639520703649
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.131544066469401,4,0.34633086250147
"230","hsa04977","Vitamin digestion and absorption - Homo sapiens (human)",0.134777673601446,4,0.349552792997758
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.134842323708334,126,0.349552792997758
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",0.144199922758377,125,0.370957053202847
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.146007158053338,60,0.372760698969508
"39","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",0.151748272318714,21,0.384505020837644
"233","hsa04960","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)",0.157682955301227,34,0.395685312180158
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",0.158508952950508,99,0.395685312180158
"176","hsa04610","Complement and coagulation cascades - Homo sapiens (human)",0.172970173984024,52,0.428609916416294
"254","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.181644982275838,54,0.4468201388829
"316","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",0.18611927722374,40,0.454009264109676
"214","hsa04916","Melanogenesis - Homo sapiens (human)",0.187261981339006,90,0.454009264109676
"105","hsa04122","Sulfur relay system - Homo sapiens (human)",0.203820354938347,6,0.490624711530164
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",0.224712845188887,121,0.537079637082659
"59","hsa00470","D-Amino acid metabolism - Homo sapiens (human)",0.231980942189172,5,0.547756941844795
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.232430987192302,84,0.547756941844795
"131","hsa04392","Hippo signaling pathway - multiple species - Homo sapiens (human)",0.24324720891169,5,0.569266037522497
"193","hsa04670","Leukocyte transendothelial migration - Homo sapiens (human)",0.247261877949211,100,0.572170782033956
"76","hsa00740","Riboflavin metabolism - Homo sapiens (human)",0.248716080148684,8,0.572170782033956
"97","hsa00970","Aminoacyl-tRNA biosynthesis - Homo sapiens (human)",0.249581913824901,1,0.572170782033956
