"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"328","hsa05020","Prion disease - Homo sapiens (human)",1.433223497047e-19,235,4.8299631850484e-17
"40","hsa00230","Purine metabolism - Homo sapiens (human)",3.15030735940273e-19,100,5.3082679005936e-17
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",8.26362764238008e-18,72,9.28280838494029e-16
"171","hsa04540","Gap junction - Homo sapiens (human)",3.87371449824042e-15,84,3.26360446476755e-13
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.55028980978234e-14,211,1.0448953317933e-12
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",4.43194174673303e-13,249,2.48927394774839e-11
"32","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",6.6369466760836e-13,46,3.19521575691454e-11
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.01337573382514e-12,241,4.2688452787384e-11
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.30081058122898e-12,319,4.40874624488315e-11
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.30823330708699e-12,391,4.40874624488315e-11
"196","hsa04911","Insulin secretion - Homo sapiens (human)",4.57279970078129e-12,62,1.4009395446939e-10
"143","hsa04024","cAMP signaling pathway - Homo sapiens (human)",6.08716493111275e-11,166,1.70947881815416e-09
"257","hsa04714","Thermogenesis - Homo sapiens (human)",9.66559145765732e-11,155,2.50561870863886e-09
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",2.58272654965746e-10,64,6.21699176596117e-09
"47","hsa00310","Lysine degradation - Homo sapiens (human)",3.14990494829024e-10,50,7.07678645049206e-09
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",3.46192594888604e-10,121,7.29168152984122e-09
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",7.09543652285051e-10,201,1.40656594600037e-08
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.40402621675508e-09,37,2.62864908359145e-08
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.72850415165702e-09,104,8.38687315320219e-08
"33","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",6.67678119924664e-09,71,1.12503763207306e-07
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",4.39065986450054e-08,135,7.04596368731753e-07
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",6.20952859388508e-08,93,9.51186880063306e-07
"221","hsa04270","Vascular smooth muscle contraction - Homo sapiens (human)",8.3331289344508e-08,118,1.22098454387388e-06
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",1.64997863850708e-07,82,2.31684500490369e-06
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",3.87516020316675e-07,68,5.22371595386877e-06
"224","hsa04972","Pancreatic secretion - Homo sapiens (human)",4.92374115389428e-07,67,6.38192603408605e-06
"154","hsa04145","Phagosome - Homo sapiens (human)",5.90208914921995e-07,94,7.36668164180417e-06
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",6.33416155356238e-07,73,7.6236158698233e-06
"203","hsa04912","GnRH signaling pathway - Homo sapiens (human)",8.25567346864257e-07,84,9.59366192735361e-06
"218","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)",1.15776190593378e-06,49,1.30055254099894e-05
"243","hsa04730","Long-term depression - Homo sapiens (human)",1.25424975964037e-06,54,1.36349086773808e-05
"222","hsa04970","Salivary secretion - Homo sapiens (human)",1.59031519239178e-06,58,1.6748006869876e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.72999914663221e-06,38,1.76669609822743e-05
"223","hsa04971","Gastric acid secretion - Homo sapiens (human)",1.89411858389464e-06,59,1.87740577286027e-05
"29","hsa00100","Steroid biosynthesis - Homo sapiens (human)",2.53442268242272e-06,17,2.44028698278988e-05
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",2.928067148147e-06,44,2.68580180347988e-05
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",2.94880316702538e-06,25,2.68580180347988e-05
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",3.78045493079371e-06,10,3.35266660967758e-05
"228","hsa04975","Fat digestion and absorption - Homo sapiens (human)",4.88668705047333e-06,27,4.1737961049692e-05
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",4.95406065871715e-06,77,4.1737961049692e-05
"34","hsa00565","Ether lipid metabolism - Homo sapiens (human)",5.47211949696757e-06,33,4.49781529384895e-05
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",8.01824894667812e-06,28,6.43369022626316e-05
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",8.92084643679395e-06,109,6.99145406790595e-05
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",9.74554133196392e-06,88,7.46419870198146e-05
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",2.12073946409208e-05,51,0.000158819822088674
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",2.78857330544265e-05,209,0.000204293305203081
"220","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",2.91624794454434e-05,123,0.00020910118240669
"334","hsa05034","Alcoholism - Homo sapiens (human)",3.54842726271294e-05,88,0.000249129164069638
"249","hsa04742","Taste transduction - Homo sapiens (human)",3.62239690115029e-05,24,0.000249132195038295
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",3.8195609206913e-05,34,0.000257438406054594
"173","hsa04814","Motor proteins - Homo sapiens (human)",4.85863362753306e-05,87,0.000321050888721302
"330","hsa05030","Cocaine addiction - Homo sapiens (human)",5.63133158952471e-05,39,0.000364953604936505
"332","hsa05032","Morphine addiction - Homo sapiens (human)",6.42884681919326e-05,56,0.00040877761850342
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",7.04561483861393e-05,169,0.000439698555669054
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",8.68677751327378e-05,73,0.000529551464690463
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",8.79966825598395e-05,47,0.000529551464690463
"141","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",9.04757086935355e-05,129,0.000534917786486342
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.000118875041121954,19,0.000690704980312043
"170","hsa04530","Tight junction - Homo sapiens (human)",0.000182595128304179,145,0.001042958614212
"301","hsa05132","Salmonella infection - Homo sapiens (human)",0.000192277668910231,187,0.00107995957371246
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.000249434909645408,15,0.00137802564836889
"215","hsa04924","Renin secretion - Homo sapiens (human)",0.000253706088692605,55,0.00137901535305497
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.000296206266159792,44,0.00158446843961666
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.000321019605780228,57,0.00169036886168651
"211","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",0.000336889430383135,52,0.00174664212367871
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.000394822178906449,15,0.00201598597411323
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.000436374288921414,52,0.00219489754278383
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.00053993310955596,169,0.00267584496941704
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.000624181776326449,15,0.00301270207833316
"177","hsa04611","Platelet activation - Homo sapiens (human)",0.000625783814490567,103,0.00301270207833316
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000647526687230575,69,0.00307347174079864
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.000829340502318263,29,0.00382863399179323
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.000829348016026426,92,0.00382863399179323
"267","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",0.00098546534932844,80,0.00448786246923897
"148","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.00104243115415422,160,0.00468399065266628
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.00133230682178037,38,0.00590772893342086
"210","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",0.0014115208367218,107,0.00617769509058762
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.001561643070452,68,0.00674709890695286
