"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.07313316235585e-16,104,3.61645875713921e-14
"328","hsa05020","Prion disease - Homo sapiens (human)",1.32807549244087e-14,235,2.23780720476287e-12
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",5.37084166302815e-11,169,6.03324546813495e-09
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.28400328394144e-10,211,1.08177276672066e-08
"257","hsa04714","Thermogenesis - Homo sapiens (human)",5.03681849388598e-10,155,3.39481566487915e-08
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",9.02261347316861e-10,319,5.06770123409637e-08
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",1.50573278377862e-09,51,7.24902783047709e-08
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",5.05557440257034e-09,183,2.12966071708276e-07
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",8.08012672114909e-09,72,3.02555856114138e-07
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.34206123589432e-08,391,4.52274636496385e-07
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",4.98663147428083e-07,249,1.52772255166604e-05
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",5.65706472943795e-07,64,1.58869234485049e-05
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",6.36138413487895e-07,93,1.64906650265708e-05
"326","hsa05016","Huntington disease - Homo sapiens (human)",9.56354552958318e-07,241,2.30208203104967e-05
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.34377532125503e-06,136,3.01901522175297e-05
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",2.12978269156989e-06,68,4.48585479411909e-05
"344","hsa04950","Maturity onset diabetes of the young - Homo sapiens (human)",2.18137744235614e-05,20,0.00043242599886707
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",2.59285728965126e-05,28,0.000485440503673598
"87","hsa00900","Terpenoid backbone biosynthesis - Homo sapiens (human)",0.0001049917828626,19,0.001862222674984
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.000964705316105438,121,0.0162552845763766
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.00118420388513693,127,0.0182716048539827
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.00119415703669529,99,0.0182716048539827
