"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"328","hsa05020","Prion disease - Homo sapiens (human)",5.48950599312386e-22,235,1.84996351968274e-19
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",2.90269154821127e-18,72,4.89103525873599e-16
"40","hsa00230","Purine metabolism - Homo sapiens (human)",5.27465428974855e-17,100,5.9251949854842e-15
"324","hsa05012","Parkinson disease - Homo sapiens (human)",5.68330633493596e-16,211,4.78818558718354e-14
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",3.04958122392562e-15,249,2.05541774492587e-13
"171","hsa04540","Gap junction - Homo sapiens (human)",1.70856769726845e-14,84,9.59645523299114e-13
"326","hsa05016","Huntington disease - Homo sapiens (human)",5.6786332384415e-14,241,2.73385628764969e-12
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.29932680630493e-13,391,5.47341417155953e-12
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",2.17066378927623e-13,319,8.1279299665121e-12
"257","hsa04714","Thermogenesis - Homo sapiens (human)",2.77923012225967e-13,155,9.36600551201507e-12
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",7.06695859927791e-13,104,2.16505913450605e-11
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",6.13563608410146e-12,201,1.72309113361849e-10
"32","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",1.09070909548312e-11,46,2.82745357829085e-10
"196","hsa04911","Insulin secretion - Homo sapiens (human)",2.6716533262524e-11,62,6.43105122105043e-10
"143","hsa04024","cAMP signaling pathway - Homo sapiens (human)",2.29001379402437e-10,166,5.14489765724142e-09
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",5.52257005564954e-10,64,1.16319131797118e-08
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",1.03872345896198e-09,121,2.05911650394229e-08
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.32880010874734e-09,93,2.48780909248808e-08
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",3.84289286922128e-09,37,6.81607840488195e-08
"47","hsa00310","Lysine degradation - Homo sapiens (human)",6.25081380473517e-09,50,1.05326212609788e-07
"33","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",1.11221267438975e-08,71,1.78483652985403e-07
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",7.42138778454294e-08,135,1.13682167426862e-06
"154","hsa04145","Phagosome - Homo sapiens (human)",6.11017166297553e-07,94,8.95272978444676e-06
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",9.20802654661973e-07,88,1.25217782205142e-05
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",9.28915298257726e-07,73,1.25217782205142e-05
"221","hsa04270","Vascular smooth muscle contraction - Homo sapiens (human)",1.14238796793075e-06,118,1.43299061601815e-05
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",1.14809337188398e-06,82,1.43299061601815e-05
"222","hsa04970","Salivary secretion - Homo sapiens (human)",2.18841218817136e-06,58,2.63391038362053e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",2.85202912765855e-06,38,3.31425453800321e-05
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",3.0667617065253e-06,68,3.44499565033009e-05
"203","hsa04912","GnRH signaling pathway - Homo sapiens (human)",3.44069014489666e-06,84,3.74036315751669e-05
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",4.38761452533236e-06,169,4.62070654699064e-05
"223","hsa04971","Gastric acid secretion - Homo sapiens (human)",4.95059765014578e-06,59,4.90567191614271e-05
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",4.99345801938323e-06,10,4.90567191614271e-05
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",5.15108553519394e-06,34,4.90567191614271e-05
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",5.24048038519696e-06,25,4.90567191614271e-05
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",5.80890247334446e-06,77,5.29081117166779e-05
"224","hsa04972","Pancreatic secretion - Homo sapiens (human)",7.9007700271183e-06,67,7.00673552404966e-05
"29","hsa00100","Steroid biosynthesis - Homo sapiens (human)",9.21469369083449e-06,17,7.9624404456698e-05
"218","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)",1.35690454945217e-05,49,0.000114319208291345
"301","hsa05132","Salmonella infection - Homo sapiens (human)",2.64338500240126e-05,187,0.000217273352636396
"228","hsa04975","Fat digestion and absorption - Homo sapiens (human)",3.12740500679906e-05,27,0.000250937020783639
"141","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",4.17076792367264e-05,129,0.000326871811692484
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",5.02583860905598e-05,51,0.000384933548011788
"243","hsa04730","Long-term depression - Homo sapiens (human)",5.16405460833616e-05,54,0.000386730311779841
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",7.09509807178979e-05,19,0.000519793054389817
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",7.38696803521342e-05,209,0.000529661325078069
"267","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",8.44550252474231e-05,80,0.000592944656424616
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",9.09702654289168e-05,28,0.000625652641827449
"330","hsa05030","Cocaine addiction - Homo sapiens (human)",9.73470228661758e-05,39,0.000656118934118025
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",0.000103004912743983,44,0.00068064030577887
"173","hsa04814","Motor proteins - Homo sapiens (human)",0.000118444305270624,87,0.000755914381751509
"34","hsa00565","Ether lipid metabolism - Homo sapiens (human)",0.000118882677248754,33,0.000755914381751509
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.000129980251577751,52,0.000809815211249871
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.000132165687295973,57,0.000809815211249871
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",0.00017304490857043,47,0.00104135953907563
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",0.00018527746512577,109,0.00109541238153306
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.000220674853803589,29,0.00128219699537603
"334","hsa05034","Alcoholism - Homo sapiens (human)",0.000243797859592285,88,0.00139254031665424
"332","hsa05032","Morphine addiction - Homo sapiens (human)",0.000337058325493146,56,0.00189314426151984
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.000365803209969547,15,0.0020209128157334
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",0.000437818434679647,183,0.00237975504011356
"220","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",0.000475572916059448,123,0.00254393766209577
"211","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",0.000485592471623463,52,0.0025569478583923
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000576382322384193,69,0.00298832065605343
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",0.000633228982836354,73,0.00321283841002863
"249","hsa04742","Taste transduction - Homo sapiens (human)",0.000638754223952279,24,0.00321283841002863
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000789869820861634,169,0.00391450190632898
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.00090338777638293,44,0.00441219827016011
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.000984386283159485,15,0.00473911682035352
"215","hsa04924","Renin secretion - Homo sapiens (human)",0.00106862066574762,55,0.00507218541347816
"170","hsa04530","Tight junction - Homo sapiens (human)",0.00110044095383127,145,0.00515067502001579
"148","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.00113683031054708,160,0.00524810705005983
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.00128550092288941,13,0.00585424068937476
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.00178680253940267,15,0.00802869941038268
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.00193451550553722,32,0.00857804901797424
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.00288163350733031,68,0.012611824571043
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",0.00323700235025407,280,0.0139855101543028
"57","hsa00440","Phosphonate and phosphinate metabolism - Homo sapiens (human)",0.00424651028780506,5,0.0181148603416494
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.00482571080378253,87,0.0203283067609339
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.00545914913128817,110,0.022712756262273
"25","hsa00920","Sulfur metabolism - Homo sapiens (human)",0.00555627504880351,10,0.0228349352615461
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.00581345989402627,92,0.0236040480034561
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",0.00601361876378318,178,0.0241260657547016
"210","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",0.00762421535195823,107,0.0302277714542344
"24","hsa00910","Nitrogen metabolism - Homo sapiens (human)",0.00968683565480048,4,0.0379588792519507
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.0100796978713364,38,0.0390443469269007
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.0114360590418394,79,0.0437949079215897
"177","hsa04611","Platelet activation - Homo sapiens (human)",0.0133582760145298,103,0.0505813372685003
"338","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)",0.0143305552720591,56,0.0536599680742657
"279","hsa05211","Renal cell carcinoma - Homo sapiens (human)",0.014501775848862,66,0.0537043786930384
"106","hsa03050","Proteasome - Homo sapiens (human)",0.0170200521479967,38,0.0623451910203793
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",0.0215003605089605,87,0.0779099085109642
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.0221789052120377,99,0.0794712940589413
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",0.0224028870492564,136,0.0794712940589413
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",0.0232790231616548,109,0.0817190708903925
"241","hsa04726","Serotonergic synapse - Homo sapiens (human)",0.0260958077517627,80,0.0906627547664334
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.0287857252208718,66,0.0989876469329981
"266","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.0320908358087834,63,0.108846530996167
"124","hsa04014","Ras signaling pathway - Homo sapiens (human)",0.032298673886103,194,0.108846530996167
"229","hsa04979","Cholesterol metabolism - Homo sapiens (human)",0.0328397689802387,24,0.109574278676638
"199","hsa04923","Regulation of lipolysis in adipocytes - Homo sapiens (human)",0.0337541167837986,52,0.111051586524068
"302","hsa05131","Shigellosis - Homo sapiens (human)",0.0339415828248636,216,0.111051586524068
"206","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",0.036719041696993,76,0.118983817806602
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.0378585577544399,65,0.121507942507107
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",0.0393885196448693,67,0.125225765286047
"27","hsa00062","Fatty acid elongation - Homo sapiens (human)",0.0430277215543018,20,0.13551721648411
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",0.0437877409170053,36,0.136633969342878
"118","hsa03265","Virion - Lyssavirus - Homo sapiens (human)",0.0522232858315485,3,0.161460984635155
"202","hsa04929","GnRH secretion - Homo sapiens (human)",0.0562129823571425,47,0.172216136857791
"109","hsa03410","Base excision repair - Homo sapiens (human)",0.0656161190739778,6,0.197906965820675
"212","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)",0.0657732349315004,90,0.197906965820675
"94","hsa03022","Basal transcription factors - Homo sapiens (human)",0.0679685366704997,4,0.202702627061579
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.0693822764944152,84,0.205103747180859
"250","hsa04750","Inflammatory mediator regulation of TRP channels - Homo sapiens (human)",0.0734768506468137,75,0.215319118851967
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.0837243404272436,4,0.243233644172251
"342","hsa04930","Type II diabetes mellitus - Homo sapiens (human)",0.0881846205344653,43,0.252367090612581
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.0883659249029217,78,0.252367090612581
"205","hsa04915","Estrogen signaling pathway - Homo sapiens (human)",0.0902319195133404,91,0.255530730050384
"349","hsa04934","Cushing syndrome - Homo sapiens (human)",0.0932942041989402,122,0.261376775428603
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.0943410091504182,126,0.261376775428603
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.0946230462975952,48,0.261376775428603
"247","hsa04744","Phototransduction - Homo sapiens (human)",0.109036136841598,24,0.298741285492833
"231","hsa04978","Mineral absorption - Homo sapiens (human)",0.114629927061643,11,0.311534559836886
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",0.124928923046473,114,0.33680837653329
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.12886916214806,12,0.344673870189652
"96","hsa03010","Ribosome - Homo sapiens (human)",0.136591159139811,4,0.362450556142647
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",0.142695797495869,125,0.375691279344592
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",0.149117835697529,121,0.38955589635711
"81","hsa00785","Lipoic acid metabolism - Homo sapiens (human)",0.154963468376767,3,0.399544539445115
"97","hsa00970","Aminoacyl-tRNA biosynthesis - Homo sapiens (human)",0.155312565778368,1,0.399544539445115
"49","hsa00330","Arginine and proline metabolism - Homo sapiens (human)",0.164968144193841,40,0.421168671161549
"107","hsa03018","RNA degradation - Homo sapiens (human)",0.167357154850348,17,0.424055347252386
"86","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)",0.19495402056545,5,0.486662999485605
"131","hsa04392","Hippo signaling pathway - multiple species - Homo sapiens (human)",0.19495402056545,5,0.486662999485605
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",0.200287100770502,68,0.496299654115141
"38","hsa00592","alpha-Linolenic acid metabolism - Homo sapiens (human)",0.207781531736321,18,0.511112235001023
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",0.217061660874595,68,0.529583936008443
"233","hsa04960","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)",0.218433730282414,34,0.529583936008443
"176","hsa04610","Complement and coagulation cascades - Homo sapiens (human)",0.222867790386805,52,0.535620397778557
"105","hsa04122","Sulfur relay system - Homo sapiens (human)",0.22410230292812,6,0.535620397778557
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",0.225973582453198,99,0.536289417512168
"209","hsa04926","Relaxin signaling pathway - Homo sapiens (human)",0.239363033363533,108,0.5613054471786
"39","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",0.239845651019936,21,0.5613054471786
"230","hsa04977","Vitamin digestion and absorption - Homo sapiens (human)",0.256895292517741,4,0.59706009364468
"251","hsa04360","Axon guidance - Homo sapiens (human)",0.263541448391281,149,0.608311425396314
"56","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",0.265494700800332,13,0.608651116800762
"254","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.267459676631727,54,0.609012912330352
"76","hsa00740","Riboflavin metabolism - Homo sapiens (human)",0.278680802206694,8,0.630304901635275
"110","hsa03420","Nucleotide excision repair - Homo sapiens (human)",0.282731204727316,5,0.63520277328737
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.293242396453158,60,0.654454884799431
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",0.3102790070956,66,0.687921219679061
"158","hsa04136","Autophagy - other - Homo sapiens (human)",0.315479810898396,27,0.694880367795813
