"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",8.34580784072602e-21,104,2.81253724232467e-18
"40","hsa00230","Purine metabolism - Homo sapiens (human)",7.19651063339901e-20,100,1.21261204172773e-17
"328","hsa05020","Prion disease - Homo sapiens (human)",2.18343008317615e-14,235,2.45271979343454e-12
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",3.86471658822018e-13,319,3.2560237255755e-11
"324","hsa05012","Parkinson disease - Homo sapiens (human)",2.27439281485873e-12,211,1.53294075721478e-10
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",7.70616378091436e-12,44,4.32829532361356e-10
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",6.66182584313967e-11,249,3.20719329876867e-09
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.26717973625815e-09,241,5.33799463898745e-08
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",1.96088109092511e-09,44,7.3424103071307e-08
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",4.96033545836776e-09,15,1.67163304946994e-07
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",2.1399384434074e-08,391,6.55599323116632e-07
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.21309694145863e-07,87,3.40678057726297e-06
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1.45838939071067e-07,209,3.78059403591921e-06
"43","hsa00260","Glycine, serine and threonine metabolism - Homo sapiens (human)",4.57896261666327e-07,33,1.10222171558252e-05
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",7.56241270091541e-07,169,1.63201590124929e-05
"176","hsa04610","Complement and coagulation cascades - Homo sapiens (human)",7.74844344806783e-07,52,1.63201590124929e-05
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",2.45757395785946e-06,51,4.8717789635214e-05
"49","hsa00330","Arginine and proline metabolism - Homo sapiens (human)",3.73074820950045e-06,40,6.9847897033425e-05
"154","hsa04145","Phagosome - Homo sapiens (human)",4.72717646110627e-06,94,8.38451824943586e-05
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",5.78972247142112e-06,13,9.75568236434458e-05
"316","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",1.09781858996091e-05,40,0.000176173745150869
"257","hsa04714","Thermogenesis - Homo sapiens (human)",3.23751478033061e-05,155,0.000495928400441553
"216","hsa04614","Renin-angiotensin system - Homo sapiens (human)",3.96870039056097e-05,20,0.000581500883312629
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.000231426831978547,32,0.00324961843236544
"148","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.000491650158615509,160,0.00662744413813706
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",0.000726569676915178,38,0.00941746081232365
"19","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",0.000758352729966855,23,0.00946536555551222
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.00110723939819761,12,0.0133264170425927
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",0.00143233451048107,136,0.0166447148286938
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.00171631759501002,19,0.0192799676506126
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",0.00178901900070267,183,0.0194483678463484
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.00243661534156504,68,0.0251100061330848
"50","hsa00340","Histidine metabolism - Homo sapiens (human)",0.00251875212044581,17,0.0251100061330848
"59","hsa00470","D-Amino acid metabolism - Homo sapiens (human)",0.00253335373449521,5,0.0251100061330848
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",0.00349663367010108,25,0.0336675870521161
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",0.00381459618977693,93,0.0357088587765229
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.00609344913825016,15,0.0554997935024406
"143","hsa04024","cAMP signaling pathway - Homo sapiens (human)",0.00702425913163785,166,0.0622940875621567
"52","hsa00360","Phenylalanine metabolism - Homo sapiens (human)",0.00765339554285277,14,0.0661331871267022
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",0.00785652791139636,37,0.0661912476535144
"247","hsa04744","Phototransduction - Homo sapiens (human)",0.00970639009992649,24,0.0797817917969567
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.0105679800168811,4,0.0847954587068793
"79","hsa00770","Pantothenate and CoA biosynthesis - Homo sapiens (human)",0.0137222771282625,19,0.107544357958708
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.0146995803163407,84,0.112585421968337
"86","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)",0.0152581463566748,5,0.113358380548521
"332","hsa05032","Morphine addiction - Homo sapiens (human)",0.0154732507573649,56,0.113358380548521
"106","hsa03050","Proteasome - Homo sapiens (human)",0.0211916271441697,38,0.151948475480536
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",0.0239737625415869,28,0.165591048946886
"119","hsa03266","Virion - Herpesvirus - Homo sapiens (human)",0.0240770367904968,5,0.165591048946886
"108","hsa03030","DNA replication - Homo sapiens (human)",0.0250425795926924,7,0.168786986454747
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.027257772195799,135,0.180115082940868
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",0.0287155884745046,10,0.186099102229001
