"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",7.99049192570992e-77,274,2.69279577896424e-74
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",8.65138536659664e-72,292,1.45775843427153e-69
"328","hsa05020","Prion disease - Homo sapiens (human)",4.90608033953606e-61,260,5.51116358141218e-59
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",5.76903147197454e-57,439,4.86040901513855e-55
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.02890077111178e-55,234,6.93479119729337e-54
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.03875787807874e-54,125,5.83435674854225e-53
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",8.32283116521192e-41,348,4.00684871810917e-39
"257","hsa04714","Thermogenesis - Homo sapiens (human)",5.5122776132853e-29,180,2.32204694459643e-27
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.52273534135337e-22,187,5.70179788928986e-21
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.32233727177577e-21,108,4.45627660588435e-20
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.82802729646711e-21,202,5.60041089917651e-20
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.78534733015316e-19,149,5.01385041884679e-18
"173","hsa04814","Motor proteins - Homo sapiens (human)",9.3892215830872e-17,101,2.43397513346184e-15
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.5716184899501e-15,118,3.78311022223703e-14
"106","hsa03050","Proteasome - Homo sapiens (human)",4.29926744980612e-15,39,9.65902087056441e-14
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",8.55133727675312e-14,44,1.80112541391613e-12
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",6.00500862584699e-11,294,1.19040465112379e-09
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1.16490126637635e-10,111,2.18095403760461e-09
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",2.31147599400943e-10,80,4.09982847358515e-09
"170","hsa04530","Tight junction - Homo sapiens (human)",3.73066997101459e-08,163,6.28617890115958e-07
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",1.73453318069896e-07,23,2.78351277093119e-06
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",1.89265370388173e-07,77,2.89920135549155e-06
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",3.49833335544882e-07,188,5.12581887298371e-06
"154","hsa04145","Phagosome - Homo sapiens (human)",3.66893324273821e-07,100,5.15179376167824e-06
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.51314533539477e-06,41,2.03971991211215e-05
"124","hsa04014","Ras signaling pathway - Homo sapiens (human)",2.33073237479686e-06,209,3.02098773194823e-05
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",2.62307996263397e-06,36,3.2739923978061e-05
"171","hsa04540","Gap junction - Homo sapiens (human)",5.56897457309936e-06,86,6.70265868262316e-05
"251","hsa04360","Axon guidance - Homo sapiens (human)",6.04794772369502e-06,168,7.02813235477662e-05
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",7.64511116318822e-06,40,8.5880082066481e-05
"301","hsa05132","Salmonella infection - Homo sapiens (human)",2.38824152260258e-05,201,0.000259624965521636
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",2.60367544058275e-05,93,0.00027419956983637
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",6.64944705349394e-05,75,0.000669151931796829
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",6.7510877391965e-05,70,0.000669151931796829
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",8.82095024299981e-05,29,0.000849331494825981
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",9.2395594961716e-05,85,0.000864925430613842
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",0.000106485841469269,53,0.000946856187930512
"196","hsa04911","Insulin secretion - Homo sapiens (human)",0.000106767166591571,70,0.000946856187930512
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",0.000127084073329391,227,0.00109813673620525
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",0.000164259897229665,120,0.00138388963415992
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.00024588988371291,123,0.00202109489783539
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.000263521671067721,63,0.00211444769404338
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000274987695321457,186,0.00215513612379839
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",0.000351766409955616,67,0.0026942109126146
"278","hsa05218","Melanoma - Homo sapiens (human)",0.000443117277066062,72,0.00331845605269473
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",0.00133845428300268,78,0.00980563246460656
"209","hsa04926","Relaxin signaling pathway - Homo sapiens (human)",0.00146065264685478,117,0.0104731902551076
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.00180368812062581,138,0.0126633936802271
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.00208700333004281,129,0.0143534718821312
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",0.00231766631536254,80,0.0156210709655435
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",0.00243532334897295,33,0.0160922346785075
"152","hsa04514","Cell adhesion molecules - Homo sapiens (human)",0.0028469566046971,82,0.0184504687650562
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",0.00316057083293481,10,0.019989006068043
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",0.00320298613553212,214,0.019989006068043
