"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.00381936526245e-79,274,3.38287126093446e-77
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.92107907293196e-70,292,4.92201823789035e-68
"328","hsa05020","Prion disease - Homo sapiens (human)",1.50733750264515e-67,260,1.69324246130471e-65
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.26384641076386e-65,125,2.92042743923808e-63
"324","hsa05012","Parkinson disease - Homo sapiens (human)",4.33297839649567e-65,234,2.92042743923808e-63
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",8.85481036661074e-63,439,4.9734518225797e-61
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",3.95555761605866e-59,348,1.90431845230253e-57
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.22434625223033e-29,187,5.15755858752026e-28
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.81403627776315e-27,149,6.79255806229091e-26
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",2.82487639008444e-27,202,9.51983343458457e-26
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.15313145218531e-22,44,3.53277544896771e-21
"251","hsa04360","Axon guidance - Homo sapiens (human)",4.6237979045011e-21,168,1.29851657818073e-19
"154","hsa04145","Phagosome - Homo sapiens (human)",3.33787107265688e-19,100,8.65278885757977e-18
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",8.92540193788543e-18,294,2.14847175219099e-16
"162","hsa04210","Apoptosis - Homo sapiens (human)",1.583936850501e-16,131,3.55857812412559e-15
"257","hsa04714","Thermogenesis - Homo sapiens (human)",9.94594721335941e-16,180,2.09486513181383e-14
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.25667727329431e-14,101,2.4911778888246e-13
"47","hsa00310","Lysine degradation - Homo sapiens (human)",1.13084423660867e-13,61,2.11719170965068e-12
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",3.00440854420232e-13,23,5.328871996822e-12
"301","hsa05132","Salmonella infection - Homo sapiens (human)",4.23775100784942e-13,201,6.80179864931224e-12
"106","hsa03050","Proteasome - Homo sapiens (human)",4.23850954408181e-13,39,6.80179864931224e-12
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.10897998205028e-12,108,1.69875569977702e-11
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1.55813707164277e-12,111,2.28300953540701e-11
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",4.90785454621551e-10,80,6.89144575864428e-09
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",5.64988764304314e-10,70,7.61604854282216e-09
"170","hsa04530","Tight junction - Homo sapiens (human)",7.93288807901779e-10,163,1.02822433947269e-08
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",1.23139557894286e-09,186,1.53696411149535e-08
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.38280885818385e-08,41,1.66430923288556e-07
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1.87799162393422e-08,227,2.18235578367529e-07
"152","hsa04514","Cell adhesion molecules - Homo sapiens (human)",6.20050737915443e-08,82,6.96523662258347e-07
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",1.63860565827272e-07,151,1.78132292528357e-06
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",9.09285639808662e-07,119,9.57591439423497e-06
"168","hsa04510","Focal adhesion - Homo sapiens (human)",1.92409080842664e-06,200,1.96490485587812e-05
"287","hsa05170","Human immunodeficiency virus 1 infection - Homo sapiens (human)",6.37513880652919e-06,176,6.3188875817657e-05
"303","hsa05135","Yersinia infection - Homo sapiens (human)",1.19970140342018e-05,131,0.000113060417839514
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",1.23445219749588e-05,102,0.000113060417839514
"103","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",1.24131616025579e-05,20,0.000113060417839514
"163","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",1.38430340270714e-05,29,0.000122765854397976
"123","hsa04012","ErbB signaling pathway - Homo sapiens (human)",2.6811346538053e-05,84,0.00023167753290574
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.000124191697113571,62,0.00104631504818183
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",0.000136516049904669,82,0.00110511865831935
"297","hsa05165","Human papillomavirus infection - Homo sapiens (human)",0.000137729921808347,302,0.00110511865831935
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",0.000168091068672009,71,0.00131736488703412
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.000460381895189041,19,0.00352610678815243
"335","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",0.000596831073148587,198,0.00446960159224608
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",0.000697968831170482,79,0.00506604641500878
"197","hsa04910","Insulin signaling pathway - Homo sapiens (human)",0.000706540597938909,136,0.00506604641500878
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",0.000736923743962358,71,0.00517381878573572
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.000805945567319428,144,0.00554293175891117
"342","hsa04930","Type II diabetes mellitus - Homo sapiens (human)",0.000957305500611671,45,0.00645223907412266
"107","hsa03018","RNA degradation - Homo sapiens (human)",0.00110830605195913,24,0.00732351253941622
"183","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",0.00120932354973542,89,0.00783734685116991
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.00127111151811009,137,0.00808235059628493
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",0.00136811435713871,119,0.0085380470065879
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.00173587562506801,129,0.0106361833754167
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.00225376816149112,56,0.0135628548289733
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.00279650077888148,93,0.0162954461496824
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",0.00280455749757145,70,0.0162954461496824
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",0.00313606921560689,97,0.0179128021298224
"273","hsa05214","Glioma - Homo sapiens (human)",0.00325488545977864,75,0.0182816066657567
"266","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.00367639981900004,64,0.0201819876022603
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.00371300662118735,119,0.0201819876022603
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.00390814705676873,85,0.0209054850496994
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",0.00436535173884356,107,0.0229863052498481
"167","hsa04218","Cellular senescence - Homo sapiens (human)",0.00464997435740569,128,0.0238914077068582
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",0.00467902940253009,92,0.0238914077068582
"13","hsa00051","Fructose and mannose metabolism - Homo sapiens (human)",0.00487617790255643,32,0.0242025012898237
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.0048835907647122,75,0.0242025012898237
