"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",7.28898099322966e-67,292,2.4563865947184e-64
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.29921144540497e-65,274,2.18917128550738e-63
"328","hsa05020","Prion disease - Homo sapiens (human)",2.38602335973904e-46,260,2.68029957410685e-44
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.72938331897857e-44,234,1.45700544623945e-42
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.89115453202336e-38,125,1.27463815458374e-36
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",2.26190511097481e-37,439,1.27043670399752e-35
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.28214354666157e-29,101,6.17260536035644e-28
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",7.94235378912805e-25,348,3.34571653367019e-23
"106","hsa03050","Proteasome - Homo sapiens (human)",1.60380178200871e-18,39,6.00534667263262e-17
"257","hsa04714","Thermogenesis - Homo sapiens (human)",3.11193811712103e-16,180,1.04872314546979e-14
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",9.5632173567102e-14,29,2.92982204473758e-12
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",2.33568183770682e-13,111,6.55937316089331e-12
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",3.14843886347474e-11,23,8.16172228454605e-10
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",5.56159763788211e-11,51,1.33875600283305e-09
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.2469877322521e-10,187,2.80156577179305e-09
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.19929303981928e-09,118,2.52601096511937e-08
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",6.52259114016895e-09,44,1.29300777308055e-07
"154","hsa04145","Phagosome - Homo sapiens (human)",2.00283888612563e-08,100,3.7497594701352e-07
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",2.5903099152566e-08,33,4.59439179706039e-07
"160","hsa04110","Cell cycle - Homo sapiens (human)",2.90418138272197e-08,137,4.89354562988651e-07
"301","hsa05132","Salmonella infection - Homo sapiens (human)",3.26841883959346e-08,201,5.24503404258569e-07
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",8.15790381576086e-08,108,1.24964253905064e-06
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",9.82220782809986e-08,95,1.43916697307376e-06
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.91235939953319e-07,41,2.68527132351118e-06
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",6.41053787828593e-07,149,8.64140505992944e-06
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",3.38808010479924e-06,80,4.39147305891286e-05
"231","hsa04978","Mineral absorption - Homo sapiens (human)",6.68127109238742e-06,12,8.33921614123911e-05
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",9.51163574446789e-06,16,0.000114479330210203
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",1.02572379350299e-05,36,0.000119196178762245
