"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",2.87871800098742e-61,274,9.7012796633276e-59
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",5.52159371110286e-59,292,9.30388540320833e-57
"328","hsa05020","Prion disease - Homo sapiens (human)",2.67829844543277e-44,260,3.00862192036948e-42
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.35291377805871e-39,234,1.13982985801446e-37
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",4.80904142150771e-35,439,3.2412939180962e-33
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.91928557482288e-34,125,2.76299873119218e-32
"173","hsa04814","Motor proteins - Homo sapiens (human)",3.24486224284803e-29,101,1.56216939405684e-27
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",3.71642687775983e-24,348,1.56554482225633e-22
"106","hsa03050","Proteasome - Homo sapiens (human)",2.80528321167171e-17,39,1.05042271370374e-15
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",7.24542774937258e-16,118,2.44170915153856e-14
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",3.39942922439032e-14,111,1.03560519593262e-12
"257","hsa04714","Thermogenesis - Homo sapiens (human)",3.68761494100637e-14,180,1.03560519593262e-12
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",1.05840398152713e-12,29,2.74370878288187e-11
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",2.41958169761059e-11,51,5.82427880067691e-10
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",7.46047883498217e-11,23,1.67612091159266e-09
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",7.37688375634274e-10,187,1.55375614117969e-08
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.45773050642148e-09,108,2.88973635684728e-08
"301","hsa05132","Salmonella infection - Homo sapiens (human)",5.57554632989758e-09,201,1.04386617398638e-07
"160","hsa04110","Cell cycle - Homo sapiens (human)",7.44420447872172e-09,137,1.3203667943838e-07
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",2.97761878762191e-08,95,5.01728765714291e-07
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",3.24657255378368e-08,44,5.20997595535762e-07
"154","hsa04145","Phagosome - Homo sapiens (human)",6.22154860765559e-08,100,9.53028127627242e-07
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",1.25351201633108e-07,119,1.83666760653728e-06
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",5.74713990277272e-07,41,8.06994228014336e-06
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",7.14366485717224e-07,33,9.62966022746818e-06
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",3.09121379060373e-06,35,4.00668864397483e-05
"196","hsa04911","Insulin secretion - Homo sapiens (human)",4.21626685138833e-06,70,5.1350855805771e-05
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",4.26653994825397e-06,80,5.1350855805771e-05
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",4.69486199244219e-06,67,5.45575341880351e-05
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",1.19193071994175e-05,77,0.000133893550873457
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.50923839265746e-05,149,0.000164068818814698
"211","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",2.43785324491575e-05,58,0.00025673641985519
"108","hsa03030","DNA replication - Homo sapiens (human)",2.63265023136173e-05,7,0.000268849432717849
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",3.06529163358935e-05,34,0.000303824494270474
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",3.358443297627e-05,202,0.000323370111800085
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",4.42656239168082e-05,120,0.000414375423887899
"158","hsa04136","Autophagy - other - Homo sapiens (human)",4.64039754612051e-05,31,0.000422652425146652
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",8.07532451889683e-05,63,0.000716153779702166
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",0.000123972886347688,36,0.00107125288972233
"231","hsa04978","Mineral absorption - Homo sapiens (human)",0.000137630506771108,12,0.00115953701954658
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.000144245527019689,16,0.00116228199137133
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000144854135423134,186,0.00116228199137133
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",0.000170479441344558,71,0.00133608306356084
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",0.000179101190029834,85,0.00137175229636487
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",0.000185543057195557,176,0.00138951133944228
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.000198269378132668,148,0.00145253870501541
"99","hsa03015","mRNA surveillance pathway - Homo sapiens (human)",0.000231185427998296,56,0.00165764870713672
"19","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",0.000434508722135892,30,0.00305061331999574
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",0.000538004601270682,53,0.00370015409445347
"170","hsa04530","Tight junction - Homo sapiens (human)",0.000775973441325608,163,0.0052300609945346
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",0.00120882186322348,80,0.00798770525306497
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.00125512772453471,138,0.00813419313784995
