"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.73683236482313e-27,234,5.85312506945393e-25
"328","hsa05020","Prion disease - Homo sapiens (human)",2.14474196451717e-24,260,3.61389021021143e-22
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.20190020292809e-21,292,1.35013456128922e-19
"326","hsa05016","Huntington disease - Homo sapiens (human)",6.81419986653049e-21,274,5.74096338755194e-19
"106","hsa03050","Proteasome - Homo sapiens (human)",8.28686482751232e-18,39,5.5853468937433e-16
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",2.00060627588752e-17,439,1.12367385829016e-15
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.15600393243387e-16,348,5.56533321757448e-15
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",6.68171368707817e-14,125,2.81467189068168e-12
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",4.355130945115e-13,111,1.63075458722639e-11
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",5.92067490313686e-09,187,1.99526744235712e-07
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.00309915868062e-08,202,3.073131058867e-07
"110","hsa03420","Nucleotide excision repair - Homo sapiens (human)",1.65002606322824e-07,5,4.63382319423263e-06
"257","hsa04714","Thermogenesis - Homo sapiens (human)",2.21873544560392e-05,180,0.000575164496283477
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",2.39516694430888e-05,71,0.00057655090016578
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.000206741197446185,29,0.00464478556929096
"164","hsa04216","Ferroptosis - Homo sapiens (human)",0.00057446706378577,28,0.0120997125309878
"80","hsa00780","Biotin metabolism - Homo sapiens (human)",0.000831194172155942,1,0.0155618020009196
"111","hsa03430","Mismatch repair - Homo sapiens (human)",0.000831194172155942,1,0.0155618020009196
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",0.00103992286397528,108,0.0184449476399826
"301","hsa05132","Salmonella infection - Homo sapiens (human)",0.00113954422401449,201,0.0188184463481286
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",0.00117266282881514,149,0.0188184463481286
"18","hsa00620","Pyruvate metabolism - Homo sapiens (human)",0.00176787135826662,47,0.0270805748970842
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.00319271526658761,80,0.0467802193408706
"27","hsa00062","Fatty acid elongation - Homo sapiens (human)",0.00349475930797227,26,0.0490722452827773
"101","hsa03060","Protein export - Homo sapiens (human)",0.00366546043920257,1,0.0494102100744904
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.00381206368527226,51,0.0494102100744904
"94","hsa03022","Basal transcription factors - Homo sapiens (human)",0.00523843672160897,4,0.065383450932675
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",0.00901282786858288,67,0.108475821132587
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",0.0136381228197013,72,0.158484392766874
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",0.0142115481452604,137,0.159643057498425
"173","hsa04814","Motor proteins - Homo sapiens (human)",0.0157736646447431,101,0.171474999525111
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.0170372627134374,52,0.179423672950888
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",0.0204206122335961,92,0.207045361713869
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.022196358582056,6,0.207045361713869
"109","hsa03410","Base excision repair - Homo sapiens (human)",0.022196358582056,6,0.207045361713869
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",0.0226754365298178,41,0.207045361713869
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",0.0227319833335702,10,0.207045361713869
"26","hsa00061","Fatty acid biosynthesis - Homo sapiens (human)",0.0240666650891919,17,0.213433319343623
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",0.0263446500619455,33,0.227644796689119
"154","hsa04145","Phagosome - Homo sapiens (human)",0.0272653642101946,100,0.22971069347089
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.0280999437885374,70,0.230967830652124
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.0298847798924314,23,0.239789781517843
"61","hsa00510","N-Glycan biosynthesis - Homo sapiens (human)",0.030849471100947,49,0.24059033220884
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",0.0314123875880977,77,0.24059033220884
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.0350492410942329,63,0.260363636735407
"40","hsa00230","Purine metabolism - Homo sapiens (human)",0.0355392501181862,121,0.260363636735407
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.0382737333805174,138,0.274430811685837
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.0416651655687815,119,0.292524183264153
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.0442940651011663,56,0.304634692634552
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.0461013973339989,17,0.310723418031152
"19","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",0.0473464068670619,30,0.312857629690193
"108","hsa03030","DNA replication - Homo sapiens (human)",0.0485276023927762,7,0.314496192430108
"158","hsa04136","Autophagy - other - Homo sapiens (human)",0.0501416567116858,31,0.318825251166757
"9","hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)",0.0518243128182842,65,0.323422100365959
"39","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",0.0669514917479303,25,0.410230049437319
"16","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)",0.0694208420691067,32,0.413011642293161
"60","hsa00480","Glutathione metabolism - Homo sapiens (human)",0.069856568577775,54,0.413011642293161
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.0718309473207843,137,0.417362573225936
"171","hsa04540","Gap junction - Homo sapiens (human)",0.073399833906588,86,0.419249898754579
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",0.0765767999557776,35,0.425918733938264
"62","hsa00513","Various types of N-glycan biosynthesis - Homo sapiens (human)",0.0770950824042556,33,0.425918733938264
"92","hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)",0.0828072075825972,70,0.450097241215085
"170","hsa04530","Tight junction - Homo sapiens (human)",0.0901070288374631,163,0.482001090765477
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",0.0940768919760853,120,0.495373634311574
