"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.67302831845138e-40,125,1.91181054331811e-37
"324","hsa05012","Parkinson disease - Homo sapiens (human)",4.0078062442301e-37,234,6.75315352152771e-35
"328","hsa05020","Prion disease - Homo sapiens (human)",2.13540923923537e-36,260,2.39877637874107e-34
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.9221782860839e-34,292,2.46193520602568e-32
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.86128574242165e-33,274,1.25450659039219e-31
"257","hsa04714","Thermogenesis - Homo sapiens (human)",9.99327455404971e-26,180,5.56623499535254e-24
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.15619124532545e-25,439,5.56623499535254e-24
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.93721752032176e-24,202,8.16052880435543e-23
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",5.65122103173288e-24,348,2.11606831965998e-22
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",8.81116073161353e-22,187,2.96936116655376e-20
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.1312786275533e-18,149,3.46582634077692e-17
"302","hsa05131","Shigellosis - Homo sapiens (human)",3.41017340819857e-13,237,9.57690365469099e-12
"301","hsa05132","Salmonella infection - Homo sapiens (human)",5.23799562636844e-13,201,1.35784963545089e-11
"40","hsa00230","Purine metabolism - Homo sapiens (human)",1.1071282440671e-12,121,2.66501584464723e-11
"303","hsa05135","Yersinia infection - Homo sapiens (human)",8.69527750789766e-11,131,1.95353901344101e-09
"168","hsa04510","Focal adhesion - Homo sapiens (human)",2.24298283753374e-09,200,4.72428260155544e-08
"173","hsa04814","Motor proteins - Homo sapiens (human)",4.76493929905231e-08,101,9.44579143400371e-07
"106","hsa03050","Proteasome - Homo sapiens (human)",7.46430329904297e-08,39,1.39748345098749e-06
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.00636993890684e-07,44,1.78498247058739e-06
"180","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",3.28673223166206e-07,160,5.53814381035057e-06
"154","hsa04145","Phagosome - Homo sapiens (human)",3.49754278541288e-07,100,5.61272342230543e-06
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",4.88518201540451e-07,23,7.48321063268782e-06
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",5.51753249646076e-07,80,8.08438457090121e-06
"177","hsa04611","Platelet activation - Homo sapiens (human)",1.24253934176394e-06,110,1.70287850246502e-05
"335","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",1.2632629840245e-06,198,1.70287850246502e-05
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.36791738838177e-06,108,1.76370633659556e-05
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.41305848926054e-06,41,1.76370633659556e-05
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",2.73139341165769e-06,93,3.1802809948796e-05
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",2.73674032200322e-06,92,3.1802809948796e-05
"305","hsa05134","Legionellosis - Homo sapiens (human)",5.48453143367388e-06,47,6.16095697716033e-05
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",1.15041209421263e-05,70,0.000125060927661179
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",1.30819212396888e-05,87,0.000137768983055473
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1.46290531071104e-05,227,0.00014939366354837
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",1.77201633043664e-05,119,0.000175638089222691
"310","hsa05144","Malaria - Homo sapiens (human)",2.14345944239154e-05,39,0.000206384523453128
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",2.52656193697145e-05,126,0.000236514270210939
"160","hsa04110","Cell cycle - Homo sapiens (human)",2.80150909608347e-05,137,0.000255164477129765
"260","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",4.92121136574291e-05,126,0.000436433744804042
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",6.98594162585504e-05,294,0.000603657007157217
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",8.20638436787696e-05,62,0.000691387882993634
"307","hsa05152","Tuberculosis - Homo sapiens (human)",9.80784037431493e-05,144,0.00080615663564491
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",0.000107348420351421,79,0.000861343277581638
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",0.000117260885379745,37,0.000918998101697071
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",0.00013508174019373,102,0.00103460332830198
"183","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",0.000139702990910101,89,0.0010462201763712
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",0.00014381540966805,97,0.00105360419691593
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.000150733115181913,85,0.00106000426243417
"167","hsa04218","Cellular senescence - Homo sapiens (human)",0.000150979835598932,128,0.00106000426243417
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",0.000158127404485696,72,0.00108752929207509
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",0.000174982839861004,111,0.00117938434066317
"135","hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)",0.000212971623935879,89,0.00140728308365473
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",0.00026320635371576,170,0.00170577963850406
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",0.00033939397524515,188,0.00213561641550803
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",0.000342205597737191,137,0.00213561641550803
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000392912344444624,75,0.00240748109232433
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.000471439295257807,138,0.00283234636278388
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",0.000483222760444779,72,0.00283234636278388
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",0.000492368273925091,120,0.00283234636278388
"304","hsa05133","Pertussis - Homo sapiens (human)",0.000495870728202519,69,0.00283234636278388
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",0.000536050259746655,71,0.00301081562557705
"336","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",0.000591590404948966,126,0.00326829453225904
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",0.000614669441321868,119,0.00333673512881657
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",0.000623781344556214,82,0.00333673512881657
"312","hsa05140","Leishmaniasis - Homo sapiens (human)",0.000673809370896246,61,0.00354802746862555
"99","hsa03015","mRNA surveillance pathway - Homo sapiens (human)",0.000834360311017264,56,0.00431543528686602
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000854367505337935,186,0.00431543528686602
"189","hsa04657","IL-17 signaling pathway - Homo sapiens (human)",0.000869759459063662,65,0.00431543528686602
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.00087077032494626,17,0.00431543528686602
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",0.000976667608540732,176,0.00477010121852502
"45","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)",0.00109309305280312,48,0.00526246226849501
"337","hsa05410","Hypertrophic cardiomyopathy - Homo sapiens (human)",0.00110937440868508,80,0.00526562219333621
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.00114630378084884,73,0.00536533852980639
"123","hsa04012","ErbB signaling pathway - Homo sapiens (human)",0.0011932681164644,84,0.00550864870203428
"268","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)",0.00135763098241449,85,0.00618272487937408
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.00162889230905623,19,0.00731915610869267
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",0.0021007072629369,70,0.00928673481815198
"206","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",0.00212189489910297,89,0.00928673481815198
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.00234671606359948,15,0.0101390168388849
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.00238300991505385,85,0.0101654979920652
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.00272832476328923,88,0.0114930680653559
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.00318258077048162,56,0.0132411076500285
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.00343190094348182,148,0.0141042758286997
"182","hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)",0.00389433620947141,49,0.0158119434047213
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.0039640733874588,129,0.0158573293417816
"254","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.00399962312774907,59,0.0158573293417816
