"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",3.75920268520388e-68,274,1.26685130491371e-65
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.09884957726413e-67,234,1.85156153769006e-65
"328","hsa05020","Prion disease - Homo sapiens (human)",8.93712598039597e-65,260,1.00393715179781e-62
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.29053705023757e-61,292,1.92977746482515e-59
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.776214999377e-53,125,3.8931689095801e-51
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",8.92313806360315e-39,439,5.01182921239044e-37
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.02480430889298e-35,348,4.9337007442419e-34
"257","hsa04714","Thermogenesis - Homo sapiens (human)",6.30516358886383e-30,180,2.65605016180889e-28
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",3.59459849287513e-29,149,1.34597743566547e-27
"106","hsa03050","Proteasome - Homo sapiens (human)",5.70095087150066e-29,39,1.92122044369572e-27
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",7.80009494574541e-28,202,2.38966545156018e-26
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",3.55784549797038e-22,187,9.99161610680014e-21
"154","hsa04145","Phagosome - Homo sapiens (human)",7.07418967885336e-14,100,1.83384763213352e-12
"173","hsa04814","Motor proteins - Homo sapiens (human)",2.06727529886405e-12,101,4.97622696940847e-11
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",8.9267163399609e-10,44,2.00553560437788e-08
"301","hsa05132","Salmonella infection - Homo sapiens (human)",2.09056247404637e-09,201,4.40324721096017e-08
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",1.34482865977778e-08,80,2.66592504908889e-07
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",2.82340221096768e-08,71,5.28603636164504e-07
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",4.64261717178827e-08,108,8.2345367731192e-07
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1.21587617538714e-07,111,2.04875135552733e-06
"321","hsa05332","Graft-versus-host disease - Homo sapiens (human)",2.20011205292217e-06,20,3.530656008737e-05
"305","hsa05134","Legionellosis - Homo sapiens (human)",5.7812589439693e-06,47,8.85583756417116e-05
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",1.80575979485808e-05,55,0.000264583065594424
"135","hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)",1.98327203376926e-05,89,0.000278484448075101
"103","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",2.18590142364432e-05,20,0.000294659511907254
"40","hsa00230","Purine metabolism - Homo sapiens (human)",3.04300273963305e-05,121,0.000394419970483207
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",4.48371486143287e-05,34,0.000559634040112177
"100","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)",7.88617778480379e-05,4,0.000949157826242456
"175","hsa04640","Hematopoietic cell lineage - Homo sapiens (human)",0.000110521000063245,69,0.00128433024211426
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",0.000120268166933487,41,0.00135101240855283
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000188796833522541,186,0.0020524042870031
"182","hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)",0.00023692040432368,49,0.00249506800803375
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000370438732218157,75,0.00378296523507633
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",0.000586577908563814,170,0.0056588817619614
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.000587717690411422,70,0.0056588817619614
"310","hsa05144","Malaria - Homo sapiens (human)",0.000870481780525821,39,0.00814867666770005
"291","hsa05164","Influenza A - Homo sapiens (human)",0.00124268904414948,127,0.0111445460443878
"155","hsa04142","Lysosome - Homo sapiens (human)",0.00125665504358082,63,0.0111445460443878
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.00129871437572698,29,0.0112222242210254
"185","hsa04612","Antigen processing and presentation - Homo sapiens (human)",0.00140697029999785,50,0.0118537247774819
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.0016918436058691,23,0.0139061291506801
"180","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",0.00283752631199795,160,0.0227677706462693
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",0.00347568202095486,119,0.0272396474665532
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.0036202007219744,19,0.0277274464387585
"165","hsa04217","Necroptosis - Homo sapiens (human)",0.00765641023990932,105,0.057338005574432
"96","hsa03010","Ribosome - Homo sapiens (human)",0.0084307886117311,4,0.0617646904815952
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",0.00973979258351418,126,0.0684377277991846
"79","hsa00770","Pantothenate and CoA biosynthesis - Homo sapiens (human)",0.00974780692688682,21,0.0684377277991846
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.0102908870539792,131,0.070776100759
"304","hsa05133","Pertussis - Homo sapiens (human)",0.0110891365224427,69,0.0747407801612641
"107","hsa03018","RNA degradation - Homo sapiens (human)",0.0176811835219347,24,0.11683448719396
"114","hsa03460","Fanconi anemia pathway - Homo sapiens (human)",0.0181067616156695,9,0.117345743547705
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.020047230943254,144,0.12747012882786
"341","hsa05416","Viral myocarditis - Homo sapiens (human)",0.0215071455352082,30,0.132566753487059
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.0216355235661372,33,0.132566753487059
"101","hsa03060","Protein export - Homo sapiens (human)",0.0237567214116815,1,0.142964555638155
"343","hsa04940","Type I diabetes mellitus - Homo sapiens (human)",0.0283186156802773,17,0.164733904375677
"302","hsa05131","Shigellosis - Homo sapiens (human)",0.0283518292397307,237,0.164733904375677
"189","hsa04657","IL-17 signaling pathway - Homo sapiens (human)",0.0356525521221188,65,0.203642543477187
"89","hsa00524","Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)",0.0389662600771235,5,0.216079107065976
