"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"324","hsa05012","Parkinson disease - Homo sapiens (human)",7.78741967217658e-71,234,2.62436042952351e-68
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.2446261739248e-68,274,2.09719510306329e-66
"328","hsa05020","Prion disease - Homo sapiens (human)",1.3374048757833e-67,260,1.5023514771299e-65
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.52299086158256e-63,292,1.2831198008833e-61
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",2.12201121675342e-52,125,1.43023556009181e-50
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.50243459777277e-39,439,8.43867432415707e-38
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.92400730256993e-37,348,9.26272087094379e-36
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.01796727261635e-32,202,4.28818713589636e-31
"257","hsa04714","Thermogenesis - Homo sapiens (human)",4.97288462348965e-30,180,1.8620690201289e-28
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",8.84874297089952e-28,149,2.98202638119314e-26
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",8.10546356324729e-27,187,2.4832192916494e-25
"106","hsa03050","Proteasome - Homo sapiens (human)",4.90202060877515e-25,39,1.37665078763102e-23
"154","hsa04145","Phagosome - Homo sapiens (human)",7.28386675205849e-13,100,1.88820238111055e-11
"173","hsa04814","Motor proteins - Homo sapiens (human)",4.84349625838085e-11,101,1.16589874219596e-09
"301","hsa05132","Salmonella infection - Homo sapiens (human)",1.07623857088345e-09,201,2.41794932258482e-08
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",4.58112793173675e-09,44,9.64900070622052e-08
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",6.68750365699699e-09,111,1.32569925435764e-07
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",4.12871667035145e-08,108,7.72987509949132e-07
"305","hsa05134","Legionellosis - Homo sapiens (human)",2.29412989131524e-06,47,4.0690619651223e-05
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",3.59066355867266e-06,71,6.05026809636343e-05
"135","hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)",4.07335461281252e-06,89,6.53676430722771e-05
"175","hsa04640","Hematopoietic cell lineage - Homo sapiens (human)",5.0525765978557e-06,69,7.73962869762442e-05
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",6.78372106695978e-06,186,9.93962608506716e-05
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",1.3972628109634e-05,80,0.000196198986372778
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",2.29119929280527e-05,55,0.000308853664670151
"40","hsa00230","Purine metabolism - Homo sapiens (human)",5.63003290605104e-05,121,0.000729738880515077
"103","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",0.000111738176638078,20,0.00139465798248267
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",0.000237227793146775,170,0.00285520593894512
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000451641101484923,75,0.00524838107587652
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.000507903608358282,29,0.00570545053389137
"165","hsa04217","Necroptosis - Homo sapiens (human)",0.000585705337153992,105,0.00631478495899626
"291","hsa05164","Influenza A - Homo sapiens (human)",0.000599623497590149,127,0.00631478495899626
"321","hsa05332","Graft-versus-host disease - Homo sapiens (human)",0.000689096461440567,20,0.00703713659107488
"182","hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)",0.000787509054137946,49,0.00780560444836729
"155","hsa04142","Lysosome - Homo sapiens (human)",0.000814168212443316,63,0.00783927678838279
"310","hsa05144","Malaria - Homo sapiens (human)",0.00121614524792736,39,0.0113844707930978
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",0.00142823447988688,34,0.0130085140465373
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",0.00183148703912063,41,0.0162423982153593
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.00254634363200056,93,0.0220030206149792
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.00266523655389226,131,0.0224546179665423
"180","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",0.00286542871543361,160,0.0235524262707592
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",0.0048000962213417,126,0.0385150577760036
"304","hsa05133","Pertussis - Homo sapiens (human)",0.0053745462444281,69,0.042121443822611
"100","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)",0.00712828028152193,4,0.0545961467016566
"312","hsa05140","Leishmaniasis - Homo sapiens (human)",0.00735753101212437,61,0.0550997322463536
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.00904761648620348,144,0.0651100742648683
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.00908063350281546,23,0.0651100742648683
"107","hsa03018","RNA degradation - Homo sapiens (human)",0.0138007646076863,24,0.0968928681831311
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.014722675682778,70,0.0998527874072352
"96","hsa03010","Ribosome - Homo sapiens (human)",0.0148149536212515,4,0.0998527874072352
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.0165871229352724,33,0.109605106454643
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",0.0208076303907842,119,0.134849450801813
"101","hsa03060","Protein export - Homo sapiens (human)",0.0230205795303287,1,0.146376137768316
"185","hsa04612","Antigen processing and presentation - Homo sapiens (human)",0.0262065276335752,50,0.163548144676201
"290","hsa05171","Coronavirus disease - COVID-19 - Homo sapiens (human)",0.0269448459899433,135,0.165098419974743
"229","hsa04979","Cholesterol metabolism - Homo sapiens (human)",0.0324368780904258,24,0.195200498508455
"201","hsa03320","PPAR signaling pathway - Homo sapiens (human)",0.0335809421545116,68,0.198539956246849
"92","hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)",0.0443378485129559,70,0.257618188773554
"164","hsa04216","Ferroptosis - Homo sapiens (human)",0.0472873318808512,28,0.267512493172278
"345","hsa04936","Alcoholic liver disease - Homo sapiens (human)",0.0476283370633137,134,0.267512493172278
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",0.0502189692953134,79,0.277439223811813
"302","hsa05131","Shigellosis - Homo sapiens (human)",0.0548158776402795,237,0.29795081878668
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",0.0664970402660649,37,0.353021346340384
"76","hsa00740","Riboflavin metabolism - Homo sapiens (human)",0.0670426295720611,8,0.353021346340384
"341","hsa05416","Viral myocarditis - Homo sapiens (human)",0.0744239546069846,30,0.385859580039289
"177","hsa04611","Platelet activation - Homo sapiens (human)",0.0805129923581469,110,0.411104218555993
"189","hsa04657","IL-17 signaling pathway - Homo sapiens (human)",0.0838560510909152,65,0.421783421158782
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.095770335637234,19,0.467693038124059
"118","hsa03265","Virion - Lyssavirus - Homo sapiens (human)",0.0964991604252895,3,0.467693038124059
"200","hsa04920","Adipocytokine signaling pathway - Homo sapiens (human)",0.0971469218655316,69,0.467693038124059
"20","hsa00640","Propanoate metabolism - Homo sapiens (human)",0.0997369954734902,32,0.473399541895299
"309","hsa05146","Amoebiasis - Homo sapiens (human)",0.132851477438976,98,0.621818720790762
"74","hsa00511","Other glycan degradation - Homo sapiens (human)",0.136333951793729,9,0.629377284308037
"16","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)",0.14018931866005,32,0.638429734978875
"179","hsa04620","Toll-like receptor signaling pathway - Homo sapiens (human)",0.142859822539483,99,0.641916802610744
"162","hsa04210","Apoptosis - Homo sapiens (human)",0.162170621718433,131,0.719098677883053
"293","hsa05168","Herpes simplex virus 1 infection - Homo sapiens (human)",0.168972284310432,127,0.73952804951449
"347","hsa04931","Insulin resistance - Homo sapiens (human)",0.177955127173991,94,0.768857408431219
"163","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",0.18512641300622,29,0.775277598758843
"343","hsa04940","Type I diabetes mellitus - Homo sapiens (human)",0.18542710934138,17,0.775277598758843
"28","hsa00071","Fatty acid degradation - Homo sapiens (human)",0.186342686942036,41,0.775277598758843
"335","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",0.195196594022333,198,0.802210392506417
"176","hsa04610","Complement and coagulation cascades - Homo sapiens (human)",0.205256141542347,55,0.820915981575063
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",0.206319746039155,87,0.820915981575063
"97","hsa00970","Aminoacyl-tRNA biosynthesis - Homo sapiens (human)",0.208371680094152,7,0.820915981575063
"336","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",0.209491912212034,126,0.820915981575063
"89","hsa00524","Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)",0.215111341494939,5,0.8332473802735
"19","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",0.225333139382149,30,0.859116570158972
"114","hsa03460","Fanconi anemia pathway - Homo sapiens (human)",0.226888352356524,9,0.859116570158972
"21","hsa00650","Butanoate metabolism - Homo sapiens (human)",0.229659255312152,24,0.859946322668835
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.233792228139206,85,0.865801987724313
"337","hsa05410","Hypertrophic cardiomyopathy - Homo sapiens (human)",0.252795979386,80,0.926002663620456
"131","hsa04392","Hippo signaling pathway - multiple species - Homo sapiens (human)",0.265397293848019,5,0.961708473406262
"136","hsa04668","TNF signaling pathway - Homo sapiens (human)",0.27422344541833,107,0.982727638076562
"319","hsa05321","Inflammatory bowel disease - Homo sapiens (human)",0.277293702874076,45,0.982727638076562
"18","hsa00620","Pyruvate metabolism - Homo sapiens (human)",0.279946152093027,47,0.982727638076562
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",0.287711806606132,6,0.999576070373883
"292","hsa05162","Measles - Homo sapiens (human)",0.294314906645279,129,0.99999982482526
"55","hsa00410","beta-Alanine metabolism - Homo sapiens (human)",0.295566962276279,31,0.99999982482526
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",0.298339850927368,72,0.99999982482526
"52","hsa00360","Phenylalanine metabolism - Homo sapiens (human)",0.305450687504531,16,0.99999982482526
"14","hsa00052","Galactose metabolism - Homo sapiens (human)",0.311330652104544,31,0.99999982482526
"105","hsa04122","Sulfur relay system - Homo sapiens (human)",0.319632381184037,6,0.99999982482526
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.323629565880173,15,0.99999982482526
"314","hsa05143","African trypanosomiasis - Homo sapiens (human)",0.331880131600332,31,0.99999982482526
"315","hsa05310","Asthma - Homo sapiens (human)",0.336405656049558,12,0.99999982482526
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.337587236994313,129,0.99999982482526
"322","hsa05340","Primary immunodeficiency - Homo sapiens (human)",0.3511097224927,26,0.99999982482526
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.351710791061396,40,0.99999982482526
"268","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)",0.360182836538095,85,0.99999982482526
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",0.380046629406025,36,0.99999982482526
"25","hsa00920","Sulfur metabolism - Homo sapiens (human)",0.393725994360167,10,0.99999982482526
"332","hsa05032","Morphine addiction - Homo sapiens (human)",0.394335797843069,63,0.99999982482526
"193","hsa04670","Leukocyte transendothelial migration - Homo sapiens (human)",0.396704358633001,107,0.99999982482526
"45","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)",0.397122642448185,48,0.99999982482526
"259","hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)",0.412709380587884,102,0.99999982482526
"81","hsa00785","Lipoic acid metabolism - Homo sapiens (human)",0.423550025606583,3,0.99999982482526
"60","hsa00480","Glutathione metabolism - Homo sapiens (human)",0.441128636218979,54,0.99999982482526
"38","hsa00592","alpha-Linolenic acid metabolism - Homo sapiens (human)",0.442637124083358,22,0.99999982482526
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",0.447255802435597,70,0.99999982482526
"72","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)",0.45091115958273,14,0.99999982482526
"50","hsa00340","Histidine metabolism - Homo sapiens (human)",0.466313799555067,22,0.99999982482526
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",0.48332246619967,67,0.99999982482526
"11","hsa00030","Pentose phosphate pathway - Homo sapiens (human)",0.483576751944555,29,0.99999982482526
"313","hsa05142","Chagas disease - Homo sapiens (human)",0.492618809869875,100,0.99999982482526
"262","hsa05204","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)",0.499571835759761,54,0.99999982482526
"98","hsa03013","Nucleocytoplasmic transport - Homo sapiens (human)",0.500421778595,12,0.99999982482526
"338","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)",0.510830821667233,61,0.99999982482526
"30","hsa00120","Primary bile acid biosynthesis - Homo sapiens (human)",0.515647802061143,17,0.99999982482526
"188","hsa04659","Th17 cell differentiation - Homo sapiens (human)",0.53245136340243,87,0.99999982482526
"171","hsa04540","Gap junction - Homo sapiens (human)",0.542038630610451,86,0.99999982482526
"247","hsa04744","Phototransduction - Homo sapiens (human)",0.546811769738192,27,0.99999982482526
"82","hsa00790","Folate biosynthesis - Homo sapiens (human)",0.553672199063077,26,0.99999982482526
"108","hsa03030","DNA replication - Homo sapiens (human)",0.560399304702785,7,0.99999982482526
"119","hsa03266","Virion - Herpesvirus - Homo sapiens (human)",0.562235685804491,5,0.99999982482526
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.566358008870025,16,0.99999982482526
"24","hsa00910","Nitrogen metabolism - Homo sapiens (human)",0.585968556767791,4,0.99999982482526
"91","hsa00982","Drug metabolism - cytochrome P450 - Homo sapiens (human)",0.598404937841123,61,0.99999982482526
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",0.600205905889731,102,0.99999982482526
"87","hsa00900","Terpenoid backbone biosynthesis - Homo sapiens (human)",0.601779562052138,21,0.99999982482526
"90","hsa00980","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)",0.605449640003697,64,0.99999982482526
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.610843982031802,62,0.99999982482526
"215","hsa04924","Renin secretion - Homo sapiens (human)",0.618771335594806,58,0.99999982482526
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",0.61960645737545,92,0.99999982482526
"320","hsa05330","Allograft rejection - Homo sapiens (human)",0.626738125294749,16,0.99999982482526
"56","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",0.626837218778562,16,0.99999982482526
"59","hsa00470","D-Amino acid metabolism - Homo sapiens (human)",0.631989245890653,5,0.99999982482526
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.63689594657901,19,0.99999982482526
"289","hsa05160","Hepatitis C - Homo sapiens (human)",0.644743512910917,149,0.99999982482526
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.654192155885909,85,0.99999982482526
"316","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",0.655670257241942,41,0.99999982482526
"311","hsa05145","Toxoplasmosis - Homo sapiens (human)",0.661553150599446,97,0.99999982482526
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.665823001945527,52,0.99999982482526
