"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",5.89845368486999e-19,274,1.98777889180119e-16
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.81699914387423e-18,292,3.06164355742807e-16
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.66290380502854e-16,439,1.8679952743154e-14
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",2.17611103582455e-15,125,1.83337354768219e-13
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",2.37919121656054e-14,348,1.6035748799618e-12
"328","hsa05020","Prion disease - Homo sapiens (human)",1.10057481206968e-13,260,6.18156186112468e-12
"324","hsa05012","Parkinson disease - Homo sapiens (human)",4.02840737239536e-12,234,1.93939040642462e-10
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",9.48129914702199e-12,202,3.99399726568301e-10
"301","hsa05132","Salmonella infection - Homo sapiens (human)",4.33316197858333e-11,201,1.57666008435836e-09
"257","hsa04714","Thermogenesis - Homo sapiens (human)",4.67851657079633e-11,180,1.57666008435836e-09
"136","hsa04668","TNF signaling pathway - Homo sapiens (human)",4.47835545099131e-10,107,1.37200526089461e-08
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",1.53144739846297e-09,137,4.30081477735017e-08
"162","hsa04210","Apoptosis - Homo sapiens (human)",1.70963411098197e-09,131,4.43189765693019e-08
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.90646933794564e-09,149,4.58914404919773e-08
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",9.19855260495135e-09,187,2.0666081519124e-07
"263","hsa05207","Chemical carcinogenesis - receptor activation - Homo sapiens (human)",6.51743579531068e-07,161,1.31570205296448e-05
"302","hsa05131","Shigellosis - Homo sapiens (human)",6.85792936194083e-07,237,1.31570205296448e-05
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",7.02748871019603e-07,93,1.31570205296448e-05
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",9.13700994603384e-07,82,1.62061702727021e-05
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",9.92406490201979e-07,90,1.67220493599033e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.39481410659372e-06,44,2.2383445424861e-05
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",2.65753705852586e-06,79,4.07086358510552e-05
