"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.93454650687243e-73,274,6.51942172816009e-71
"328","hsa05020","Prion disease - Homo sapiens (human)",1.27524315342512e-66,260,2.14878471352133e-64
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",9.3199930778386e-65,292,1.0469458890772e-62
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.33998171625586e-62,125,1.12893459594557e-60
"324","hsa05012","Parkinson disease - Homo sapiens (human)",4.08890614735088e-59,234,2.75592274331449e-57
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",4.51363999796299e-58,439,2.53516113218921e-56
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",6.91061623649793e-52,348,3.32696810242829e-50
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.71877973520454e-30,187,7.24035963454913e-29
"251","hsa04360","Axon guidance - Homo sapiens (human)",1.54422150428767e-25,168,5.7822516327216e-24
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.37830095070842e-24,202,4.64487420388739e-23
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.84087296922035e-23,44,5.6397653693387e-22
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",2.27122930436101e-23,149,6.3783689630805e-22
"154","hsa04145","Phagosome - Homo sapiens (human)",1.67764773860594e-20,100,4.34897913777079e-19
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",1.48794334721538e-17,294,3.58169220008274e-16
"257","hsa04714","Thermogenesis - Homo sapiens (human)",9.43139194797331e-17,180,2.118919390978e-15
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",9.23149731281947e-15,23,1.9443841215126e-13
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.13848759191633e-13,101,2.25688422632826e-12
"106","hsa03050","Proteasome - Homo sapiens (human)",5.58599490903846e-13,39,1.0458223801922e-11
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",6.79147043476308e-13,108,1.20459238763956e-11
"47","hsa00310","Lysine degradation - Homo sapiens (human)",1.28296037881937e-12,61,2.16178823831065e-11
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1.34980749455013e-12,111,2.16611964601617e-11
"162","hsa04210","Apoptosis - Homo sapiens (human)",4.8479882258009e-12,131,7.42623650952228e-11
"301","hsa05132","Salmonella infection - Homo sapiens (human)",8.55637166918698e-12,201,1.25369445761566e-10
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",2.50218157662057e-10,227,3.51347996383804e-09
"170","hsa04530","Tight junction - Homo sapiens (human)",3.31604416941378e-10,163,4.47002754036978e-09
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",2.11649236346906e-09,70,2.74329971726567e-08
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",2.77700488564421e-09,41,3.46611350541519e-08
