"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",3.27124434258518e-75,274,1.1024093434512e-72
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.2016685468111e-71,292,3.7098115013767e-69
"328","hsa05020","Prion disease - Homo sapiens (human)",5.55328242159398e-60,260,6.23818725359057e-58
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.54972679421969e-58,125,4.67564482413009e-56
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.6047282888858e-57,439,1.08158686670903e-55
"324","hsa05012","Parkinson disease - Homo sapiens (human)",3.1452104986113e-54,234,1.76655989672001e-52
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",3.85355261189747e-43,348,1.85521032887064e-41
"257","hsa04714","Thermogenesis - Homo sapiens (human)",1.39113389066637e-29,180,5.86015151443206e-28
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.71776904225577e-27,187,6.43209074711329e-26
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",6.08551907587944e-21,108,2.05081992857137e-19
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",6.42849643276863e-20,149,1.96945754349366e-18
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",6.82109357646493e-19,202,1.91559044605723e-17
"173","hsa04814","Motor proteins - Homo sapiens (human)",9.41789051445039e-17,101,2.44140700259214e-15
"106","hsa03050","Proteasome - Homo sapiens (human)",3.82651277331927e-14,39,9.21096289006139e-13
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",5.71929552573515e-14,44,1.2849350614485e-12
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",3.23207839261299e-13,294,6.80756511444111e-12
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.47912673201269e-12,118,2.93215122757811e-11
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",2.30863728685421e-12,111,4.32228203149926e-11
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",5.56390549836971e-11,80,9.8686113313189e-10
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",7.09907565744498e-09,77,1.19619424827948e-07
"154","hsa04145","Phagosome - Homo sapiens (human)",1.027734469766e-08,100,1.64926912529116e-07
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",1.32527847381106e-08,23,2.03008566215604e-07
