"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"328","hsa05020","Prion disease - Homo sapiens (human)",1.21810532418735e-34,260,2.39960607520991e-32
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.42409856095544e-34,292,2.39960607520991e-32
"324","hsa05012","Parkinson disease - Homo sapiens (human)",7.76330895883601e-32,234,8.72078373042578e-30
"326","hsa05016","Huntington disease - Homo sapiens (human)",4.1086665156104e-31,274,3.46155153940176e-29
"106","hsa03050","Proteasome - Homo sapiens (human)",7.07010738699213e-25,39,4.76525237883269e-23
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.01038242845124e-23,101,5.67498130646782e-22
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.71295494310622e-20,439,8.24665451181138e-19
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.29143894737386e-19,125,2.22901865658124e-17
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",1.24090398998767e-17,23,4.64649605139828e-16
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",5.27828203946485e-17,348,1.77878104729965e-15
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",5.89860900108898e-17,111,1.8071193030609e-15
"154","hsa04145","Phagosome - Homo sapiens (human)",3.01067234758525e-16,100,8.45497150946858e-15
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",1.58531184505496e-14,29,4.10961609064246e-13
"301","hsa05132","Salmonella infection - Homo sapiens (human)",4.6934863984908e-13,201,1.12978922592243e-11
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",2.44415510509289e-11,44,5.49120180277537e-10
"160","hsa04110","Cell cycle - Homo sapiens (human)",5.30576149650619e-11,137,1.11752601520162e-09
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",7.67399315985056e-11,51,1.52125629109979e-09
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",1.22917257106817e-10,119,2.30128420249985e-09
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.77028927730939e-09,41,3.13993413922771e-08
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",1.91344664160037e-09,34,3.22415759109662e-08
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",2.08792534371505e-08,186,3.35062305158082e-07
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",3.5969112125097e-08,33,5.50981399370804e-07
"170","hsa04530","Tight junction - Homo sapiens (human)",2.58323022956805e-07,163,3.78499385810623e-06
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",1.26070151168806e-06,95,1.77023503932866e-05
