"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.56890312466956e-80,274,5.2872035301364e-78
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",3.00422378019777e-71,292,5.06211706963324e-69
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",2.16550998282053e-70,439,2.4325895473684e-68
"328","hsa05020","Prion disease - Homo sapiens (human)",1.1580795491644e-67,260,9.75682020171004e-66
"324","hsa05012","Parkinson disease - Homo sapiens (human)",5.53288370140801e-61,234,3.729163614749e-59
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",3.28918239011268e-59,348,1.84742410911329e-57
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.49484775745464e-57,125,2.16394813466031e-55
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",8.81864906094079e-34,187,3.71485591692131e-32
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.58001702589153e-27,149,5.91628597472719e-26
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",4.04249522343813e-26,202,1.36232089029865e-24
"251","hsa04360","Axon guidance - Homo sapiens (human)",3.59432648320207e-24,168,1.10117093167191e-22
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",1.7315925435421e-20,44,4.86288905978074e-19
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",1.68347255353886e-19,294,4.36407885032765e-18
"154","hsa04145","Phagosome - Homo sapiens (human)",3.71864125845148e-17,100,8.74266983707066e-16
"257","hsa04714","Thermogenesis - Homo sapiens (human)",3.89139606991276e-17,180,8.74266983707066e-16
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.38420810046849e-16,101,2.91548831161176e-15
"162","hsa04210","Apoptosis - Homo sapiens (human)",2.82292920262025e-15,131,5.59604200754719e-14
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.20778351078101e-13,108,2.26123912851777e-12
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",2.00718647907923e-13,111,3.56011496552474e-12
"301","hsa05132","Salmonella infection - Homo sapiens (human)",3.07080063379048e-13,201,5.17429906793696e-12
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",2.46090440870098e-12,227,3.94916564634395e-11
"170","hsa04530","Tight junction - Homo sapiens (human)",5.49089988774456e-12,163,8.19101523355038e-11
"106","hsa03050","Proteasome - Homo sapiens (human)",5.59030713269017e-12,39,8.19101523355038e-11
"47","hsa00310","Lysine degradation - Homo sapiens (human)",9.74278868791692e-12,61,1.368049911595e-10
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",8.00111145458685e-11,23,1.04846281575047e-09
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",8.08903062596804e-11,151,1.04846281575047e-09
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",2.0241213747176e-10,186,2.52640334548085e-09
"152","hsa04514","Cell adhesion molecules - Homo sapiens (human)",5.6641272227499e-09,82,6.76296273586291e-08
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",5.81976021780487e-09,80,6.76296273586291e-08
"103","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",1.22910101611772e-08,20,1.38069014143891e-07
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",2.60649115599023e-08,70,2.83350812764099e-07
"303","hsa05135","Yersinia infection - Homo sapiens (human)",2.93594334338415e-07,131,3.09191533350143e-06
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",5.07007173860269e-07,41,5.17761871487608e-06
"287","hsa05170","Human immunodeficiency virus 1 infection - Homo sapiens (human)",6.65902669916404e-07,176,6.60027058123024e-06
"168","hsa04510","Focal adhesion - Homo sapiens (human)",7.2212003005529e-07,200,6.95298428938951e-06
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",2.53253114070761e-06,119,2.37073054005129e-05
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",3.30104935427916e-06,119,3.00663143889751e-05
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",3.60979663175232e-06,67,3.20131964447509e-05
"163","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",3.90954895541789e-06,29,3.3782512768611e-05
"193","hsa04670","Leukocyte transendothelial migration - Homo sapiens (human)",4.07311246589276e-06,107,3.43159725251465e-05
"197","hsa04910","Insulin signaling pathway - Homo sapiens (human)",5.14460747095889e-06,136,4.22861638466621e-05
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",1.06608641164395e-05,137,8.55407430295265e-05
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",1.48262141144796e-05,102,0.000116196143176271
"124","hsa04014","Ras signaling pathway - Homo sapiens (human)",1.85362690791006e-05,209,0.000141970969992202
"335","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",3.12352931542819e-05,198,0.000233917639844289
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",3.40431238393506e-05,62,0.000249402885518721
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",3.57251740841062e-05,92,0.00025615709928391
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",3.7293695002998e-05,93,0.000261832817000215
"123","hsa04012","ErbB signaling pathway - Homo sapiens (human)",4.00583716696712e-05,84,0.000275503494952636
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",4.17049294570172e-05,119,0.000281091224540296
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",5.01337218679407e-05,71,0.000331275769990118
"169","hsa04520","Adherens junction - Homo sapiens (human)",5.11335114719176e-05,85,0.000331384487808389
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",5.41502645044891e-05,82,0.000344313946000242
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",5.60821650462311e-05,188,0.000349994252232961
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",9.54060595941472e-05,40,0.000584578946967775
"183","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",0.000114791817116724,89,0.000690800756577427
"233","hsa04960","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)",0.000124578753903075,36,0.000736544562549759
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",0.000136394330884941,79,0.000792498094969398
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.000206102722241325,19,0.00117723080331062
"167","hsa04218","Cellular senescence - Homo sapiens (human)",0.000216071528146502,128,0.00121360174975618
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",0.00028960529823632,107,0.00159995058205967
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.000332344253301001,144,0.00180645182842641
"203","hsa04912","GnRH signaling pathway - Homo sapiens (human)",0.000337821627711217,90,0.00180707759585207
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.000444937766833649,56,0.00234287542848343
"342","hsa04930","Type II diabetes mellitus - Homo sapiens (human)",0.000568804639143875,45,0.00294903328294594
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000619740735726467,75,0.00316443375666393
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",0.00093535529483676,118,0.00470469752776102
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.000983569569489904,97,0.00487445507232496
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",0.00164600058272055,97,0.00802449914920625
"273","hsa05214","Glioma - Homo sapiens (human)",0.00166680991229803,75,0.00802449914920625
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.00171574011494488,129,0.00814372420755525
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.00174542902828109,63,0.00816957753514898
"13","hsa00051","Fructose and mannose metabolism - Homo sapiens (human)",0.00182970936300263,32,0.00844674048399847
"266","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.0020587917440732,64,0.00937584888854959
"206","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",0.00225967939954602,89,0.0101534927686268
"226","hsa04973","Carbohydrate digestion and absorption - Homo sapiens (human)",0.00230634808113197,41,0.0102268329387036
"261","hsa05205","Proteoglycans in cancer - Homo sapiens (human)",0.00256184155190785,181,0.011212215623285
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",0.0032861171754438,70,0.0141977113862123
"282","hsa05213","Endometrial cancer - Homo sapiens (human)",0.00387482757558468,57,0.0165242018163412
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",0.00392265918488812,120,0.0165242018163412
"336","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",0.00452338399909468,126,0.01881951120611
"304","hsa05133","Pertussis - Homo sapiens (human)",0.00495198763103128,69,0.0203514613616773
"250","hsa04750","Inflammatory mediator regulation of TRP channels - Homo sapiens (human)",0.00630179747207576,81,0.0255868162420426
"198","hsa04922","Glucagon signaling pathway - Homo sapiens (human)",0.0066835313231419,95,0.0264828411919688
"341","hsa05416","Viral myocarditis - Homo sapiens (human)",0.00672351896168569,30,0.0264828411919688
"202","hsa04929","GnRH secretion - Homo sapiens (human)",0.00675823247035406,48,0.0264828411919688
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",0.00798264308942254,71,0.0309212726567287
"267","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",0.00834707859264956,84,0.0319655168832148
"270","hsa05212","Pancreatic cancer - Homo sapiens (human)",0.0085950008315392,76,0.0325451155081877
"131","hsa04392","Hippo signaling pathway - multiple species - Homo sapiens (human)",0.010839189401963,5,0.0405867425384614
"305","hsa05134","Legionellosis - Homo sapiens (human)",0.011800364049418,47,0.0437002492819106
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.0128058132350275,137,0.0469082506543941
"171","hsa04540","Gap junction - Homo sapiens (human)",0.0145603708878231,86,0.0527617740773807
"17","hsa00520","Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)",0.0149564761861655,44,0.0535469178680443
"297","hsa05165","Human papillomavirus infection - Homo sapiens (human)",0.0150948284791223,302,0.0535469178680443
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.015819572546285,73,0.0555332911260214
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",0.0163151214616206,93,0.0566824322944962
"212","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)",0.0198793373955999,95,0.068360578595073
"279","hsa05211","Renal cell carcinoma - Homo sapiens (human)",0.0216169124712624,66,0.0735848434627821
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.0235185461628522,138,0.0792575005688118
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.0263999216314454,148,0.0880868672257137
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.0274096553726506,52,0.0905593515743457
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",0.0284963029230498,85,0.0932354765540562
"118","hsa03265","Virion - Lyssavirus - Homo sapiens (human)",0.0289564887563117,3,0.0938301606815101
"114","hsa03460","Fanconi anemia pathway - Homo sapiens (human)",0.0330070556114165,9,0.105936930867118
"138","hsa04068","FoxO signaling pathway - Homo sapiens (human)",0.0368342433678306,109,0.117105094480745
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",0.0399326285330225,170,0.12576911977223
"302","hsa05131","Shigellosis - Homo sapiens (human)",0.040789080709806,237,0.126248324468229
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",0.0411022513237903,126,0.126248324468229
"283","hsa05224","Breast cancer - Homo sapiens (human)",0.0412086519035763,145,0.126248324468229
"109","hsa03410","Base excision repair - Homo sapiens (human)",0.0448279140451165,6,0.1360991624613
"311","hsa05145","Toxoplasmosis - Homo sapiens (human)",0.0493105946996659,97,0.148372057265959
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",0.0510725641382642,176,0.152313753226505
