"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",2.26702887701887e-36,125,7.63988731555359e-34
"324","hsa05012","Parkinson disease - Homo sapiens (human)",9.79319079413338e-35,234,1.65015264881147e-32
"328","hsa05020","Prion disease - Homo sapiens (human)",6.65533703826449e-34,260,7.47616193965044e-32
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.64563259837714e-31,292,2.22894546413274e-29
"326","hsa05016","Huntington disease - Homo sapiens (human)",7.2439471649897e-31,274,4.88242038920306e-29
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.59180191474947e-25,439,8.9406207545095e-24
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",4.05958634492564e-24,202,1.95440085462848e-22
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.11873080842872e-23,348,4.71265353050596e-22
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",8.90102263996742e-18,187,3.33293847741002e-16
"257","hsa04714","Thermogenesis - Homo sapiens (human)",1.62959490920322e-17,180,5.49173484401484e-16
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",2.17164164442637e-16,149,6.6531203106517e-15
"40","hsa00230","Purine metabolism - Homo sapiens (human)",3.91517179886677e-12,121,1.09951074684842e-10
"302","hsa05131","Shigellosis - Homo sapiens (human)",3.3877080482632e-11,237,8.78198163280536e-10
"301","hsa05132","Salmonella infection - Homo sapiens (human)",1.52758705647724e-10,201,3.67712027166307e-09
"168","hsa04510","Focal adhesion - Homo sapiens (human)",1.56453119207039e-09,200,3.51498007818481e-08
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",3.59981214900115e-09,87,7.58210433883367e-08
"303","hsa05135","Yersinia infection - Homo sapiens (human)",8.68806483572599e-08,131,1.72228108802333e-06
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",7.75442417993224e-07,41,1.45180052702065e-05
"177","hsa04611","Platelet activation - Homo sapiens (human)",8.41819204658553e-07,110,1.4931214314207e-05
"106","hsa03050","Proteasome - Homo sapiens (human)",9.51628320472183e-07,39,1.60349371999563e-05
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.03035131821068e-06,108,1.65346854398571e-05
"154","hsa04145","Phagosome - Homo sapiens (human)",1.1172755085501e-06,100,1.7114629380972e-05
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",2.49992007978235e-06,23,3.66292637776806e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",4.15280221918419e-06,44,5.8312264494378e-05
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",7.97495001695703e-06,93,0.000107502326228581
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",1.76877027324405e-05,137,0.000229259839262786
"190","hsa04662","B cell receptor signaling pathway - Homo sapiens (human)",1.85099597705574e-05,79,0.000231031720099179
"135","hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)",2.63386075828582e-05,89,0.000317003955550829
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",2.8032657946614e-05,227,0.000325758818207204
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",3.24966670886666e-05,70,0.000365045893629355
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",3.7132495669458e-05,70,0.000403666162600237
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",4.17479051127396e-05,111,0.000439657625718539
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",6.17075850541345e-05,73,0.000630165338280101
"173","hsa04814","Motor proteins - Homo sapiens (human)",7.5222686686262e-05,101,0.000730662715502795
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",7.58848517584506e-05,92,0.000730662715502795
"180","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",8.61317808961834e-05,160,0.00080628917116705
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",9.70740313127755e-05,80,0.00088416077168663
"45","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)",0.000142715510977711,48,0.00126566124209181
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",0.000194334709865513,90,0.00167925121088917
"305","hsa05134","Legionellosis - Homo sapiens (human)",0.000218667780768216,47,0.00184227605297222
"159","hsa04137","Mitophagy - animal - Homo sapiens (human)",0.000267969528278607,52,0.00220257880560708
"335","hsa05417","Lipid and atherosclerosis - Homo sapiens (human)",0.000384747554033377,198,0.00308714108831543
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",0.000401360512842663,37,0.00314554634483669
"75","hsa00730","Thiamine metabolism - Homo sapiens (human)",0.000437612614361176,15,0.00335171479635719
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",0.000453566818260129,138,0.00339671150563697
"162","hsa04210","Apoptosis - Homo sapiens (human)",0.000467799788998158,131,0.00342714193244303
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",0.000509017463030354,97,0.00364976351151552
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",0.000641051329829235,71,0.00450071454484275
"260","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",0.000681488660570766,126,0.00468697303290506
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",0.000802977033219301,294,0.00541206520389809
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",0.000942902176190347,170,0.0062305496740421
"169","hsa04520","Adherens junction - Homo sapiens (human)",0.00122256283578054,85,0.00792314760880852
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",0.00132880235067358,148,0.00844917721088669
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",0.00157681098041134,72,0.00984046852590041
"336","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",0.00182242616244318,126,0.0109937735797527
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",0.00182685851770372,72,0.0109937735797527
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",0.00195871297039374,126,0.0115804608951349
"167","hsa04218","Cellular senescence - Homo sapiens (human)",0.00204700912983902,128,0.0118938289095819
"310","hsa05144","Malaria - Homo sapiens (human)",0.00210771238298708,39,0.0120389673401127
"281","hsa05215","Prostate cancer - Homo sapiens (human)",0.00246371785973117,90,0.0138378819788234
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.00278629981550134,85,0.0152822349962189
"316","hsa05322","Systemic lupus erythematosus - Homo sapiens (human)",0.00281156845627765,41,0.0152822349962189
"282","hsa05213","Endometrial cancer - Homo sapiens (human)",0.00305248217006982,57,0.0163283570049767
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.00325568094610913,186,0.0171431949818559
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.0033252806145684,17,0.0172403010324546
"100","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)",0.0034986980258839,4,0.0178645641624678
"123","hsa04012","ErbB signaling pathway - Homo sapiens (human)",0.00357372088052404,84,0.0179752826378597
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.00372550420105301,119,0.0184631605258068
"309","hsa05146","Amoebiasis - Homo sapiens (human)",0.00381591256358223,98,0.0186371381728581
"138","hsa04068","FoxO signaling pathway - Homo sapiens (human)",0.00393905359925761,109,0.0187756705535146
"16","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)",0.00395570507210544,32,0.0187756705535146
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",0.00414459903120297,102,0.0193990260210472
"21","hsa00650","Butanoate metabolism - Homo sapiens (human)",0.00444830659279985,24,0.0205353331749801
"145","hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)",0.00492658309092296,338,0.0223785650574288
"182","hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)",0.0049803928169352,49,0.0223785650574288
"158","hsa04136","Autophagy - other - Homo sapiens (human)",0.00539933916323624,31,0.0239418065527712
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.00548547158529343,75,0.0240078431719985
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",0.00592137114819205,120,0.0255833599607785
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.00620463189980315,97,0.02646786012954
"183","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",0.00776100819250149,89,0.0326932470109125
"153","hsa04144","Endocytosis - Homo sapiens (human)",0.00796445355611439,129,0.0331360598569204
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",0.00833925314636798,67,0.0342722964673904
"347","hsa04931","Insulin resistance - Homo sapiens (human)",0.00867017413127809,94,0.0352029961715749
"113","hsa03450","Non-homologous end-joining - Homo sapiens (human)",0.00963367823657176,3,0.0383999071154596
"189","hsa04657","IL-17 signaling pathway - Homo sapiens (human)",0.00968543651280139,65,0.0383999071154596
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",0.0101150085214649,119,0.0387261186507649
"341","hsa05416","Viral myocarditis - Homo sapiens (human)",0.0101709973007448,30,0.0387261186507649
"160","hsa04110","Cell cycle - Homo sapiens (human)",0.0101912427707945,137,0.0387261186507649
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",0.0102273725813593,82,0.0387261186507649
"297","hsa05165","Human papillomavirus infection - Homo sapiens (human)",0.0103953773995493,302,0.0389249131516456
"268","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)",0.0114446977982391,85,0.042383111626446
"171","hsa04540","Gap junction - Homo sapiens (human)",0.0131617930359044,86,0.0482122201423889
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.0144789666572379,56,0.0524667931557976
"20","hsa00640","Propanoate metabolism - Homo sapiens (human)",0.015072831114225,32,0.0534707108981148
"225","hsa04976","Bile secretion - Homo sapiens (human)",0.0150733458021392,58,0.0534707108981148
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.015254506823475,144,0.053549674994907
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",0.0158467012244534,188,0.0550550341509359
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.017059650291352,88,0.0586643076345471
"99","hsa03015","mRNA surveillance pathway - Homo sapiens (human)",0.0179108699379667,56,0.0603996822761715
"273","hsa05214","Glioma - Homo sapiens (human)",0.0179227543846206,75,0.0603996822761715
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.0199873725175263,62,0.0665421637215404
"243","hsa04730","Long-term depression - Homo sapiens (human)",0.0201403581590419,56,0.0665421637215404
"175","hsa04640","Hematopoietic cell lineage - Homo sapiens (human)",0.0208723602135999,69,0.0682911203105161
"14","hsa00052","Galactose metabolism - Homo sapiens (human)",0.0219663281163621,31,0.0711793516847502
"291","hsa05164","Influenza A - Homo sapiens (human)",0.0232145961440556,127,0.0745077990528262
"56","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",0.024206646581792,16,0.0769588669628672
"112","hsa03440","Homologous recombination - Homo sapiens (human)",0.025970579695947,19,0.0810630454012598
"105","hsa04122","Sulfur relay system - Homo sapiens (human)",0.0260627665789491,6,0.0810630454012598
"254","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.0262192045956597,59,0.0810630454012598
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",0.0304389870284938,176,0.0932539875327491
"141","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",0.0318325921870984,137,0.0966448970004698
"312","hsa05140","Leishmaniasis - Homo sapiens (human)",0.0324796305171541,61,0.0977288882525084
"136","hsa04668","TNF signaling pathway - Homo sapiens (human)",0.0346649209764373,107,0.10338122450495
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.0369262437298709,123,0.109159159096197
"206","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)",0.0395376226226979,89,0.11586242455521
