"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",9.56272811539899e-29,274,3.22263937488946e-26
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",2.51675053046447e-25,292,4.24072464383263e-23
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",2.43979718949429e-22,125,2.74070550953192e-20
"328","hsa05020","Prion disease - Homo sapiens (human)",3.03572865160908e-19,260,2.55760138898065e-17
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.53534460634702e-18,439,1.03482226467789e-16
"324","hsa05012","Parkinson disease - Homo sapiens (human)",5.30807547586106e-18,234,2.98136905894196e-16
"301","hsa05132","Salmonella infection - Homo sapiens (human)",1.73138810585937e-14,201,8.33539702392295e-13
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.16748438199455e-13,187,4.75145255529792e-12
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.26893391684514e-13,348,4.75145255529792e-12
"162","hsa04210","Apoptosis - Homo sapiens (human)",3.14807239377261e-13,131,1.06090039670137e-11
"257","hsa04714","Thermogenesis - Homo sapiens (human)",4.17218613863395e-13,180,1.27820611701786e-11
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",3.07177706678946e-12,149,8.62657392923372e-11
"136","hsa04668","TNF signaling pathway - Homo sapiens (human)",1.07602020735701e-11,107,2.78937546061009e-10
"302","hsa05131","Shigellosis - Homo sapiens (human)",3.40514858008743e-10,237,8.1966790820676e-09
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",3.9174799357775e-10,90,8.80127158904677e-09
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",4.97400639317152e-10,93,1.04765009656175e-08
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",1.11308943012565e-09,137,2.20653610560202e-08
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",1.3187333507347e-09,202,2.46896188443109e-08
"180","hsa04621","NOD-like receptor signaling pathway - Homo sapiens (human)",1.41706066957849e-09,160,2.51341813498922e-08
"154","hsa04145","Phagosome - Homo sapiens (human)",3.78939430370144e-09,100,6.38512940173693e-08
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",2.22972757397828e-08,44,3.57818186871753e-07
"303","hsa05135","Yersinia infection - Homo sapiens (human)",3.46633661857938e-08,131,5.30979745664206e-07
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",4.72560963133863e-08,170,6.92404541635268e-07
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",5.48316689498483e-08,87,7.69928018170787e-07
"106","hsa03050","Proteasome - Homo sapiens (human)",7.57804925645303e-08,39,1.02152103976987e-06
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",9.47971386532135e-08,82,1.22871675869742e-06
"40","hsa00230","Purine metabolism - Homo sapiens (human)",1.11163023991561e-07,121,1.37227205459958e-06
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",1.14016669224891e-07,80,1.37227205459958e-06
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",2.30792302308459e-07,111,2.68196571992934e-06
