"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"9","hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)",1,65,1
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",1,29,1
"11","hsa00030","Pentose phosphate pathway - Homo sapiens (human)",1,29,1
"12","hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)",1,26,1
"13","hsa00051","Fructose and mannose metabolism - Homo sapiens (human)",1,32,1
"14","hsa00052","Galactose metabolism - Homo sapiens (human)",1,31,1
"15","hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)",1,23,1
"16","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)",1,32,1
"17","hsa00520","Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)",1,44,1
"18","hsa00620","Pyruvate metabolism - Homo sapiens (human)",1,47,1
"19","hsa00630","Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)",1,30,1
"20","hsa00640","Propanoate metabolism - Homo sapiens (human)",1,32,1
"21","hsa00650","Butanoate metabolism - Homo sapiens (human)",1,24,1
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",1,73,1
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1,125,1
"24","hsa00910","Nitrogen metabolism - Homo sapiens (human)",1,4,1
"25","hsa00920","Sulfur metabolism - Homo sapiens (human)",1,10,1
"26","hsa00061","Fatty acid biosynthesis - Homo sapiens (human)",1,17,1
"27","hsa00062","Fatty acid elongation - Homo sapiens (human)",1,26,1
"28","hsa00071","Fatty acid degradation - Homo sapiens (human)",1,41,1
"29","hsa00100","Steroid biosynthesis - Homo sapiens (human)",1,17,1
"30","hsa00120","Primary bile acid biosynthesis - Homo sapiens (human)",1,17,1
"31","hsa00140","Steroid hormone biosynthesis - Homo sapiens (human)",1,53,1
"32","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",1,62,1
"33","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",1,94,1
"34","hsa00565","Ether lipid metabolism - Homo sapiens (human)",1,44,1
"35","hsa00600","Sphingolipid metabolism - Homo sapiens (human)",1,49,1
"36","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)",1,57,1
"37","hsa00591","Linoleic acid metabolism - Homo sapiens (human)",1,26,1
"38","hsa00592","alpha-Linolenic acid metabolism - Homo sapiens (human)",1,22,1
"39","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",1,25,1
"40","hsa00230","Purine metabolism - Homo sapiens (human)",1,121,1
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",1,55,1
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",1,35,1
"43","hsa00260","Glycine, serine and threonine metabolism - Homo sapiens (human)",1,38,1
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",1,51,1
"45","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)",1,48,1
"46","hsa00290","Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)",1,4,1
"47","hsa00310","Lysine degradation - Homo sapiens (human)",1,61,1
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",1,16,1
"49","hsa00330","Arginine and proline metabolism - Homo sapiens (human)",1,49,1
"50","hsa00340","Histidine metabolism - Homo sapiens (human)",1,22,1
"51","hsa00350","Tyrosine metabolism - Homo sapiens (human)",1,36,1
"52","hsa00360","Phenylalanine metabolism - Homo sapiens (human)",1,16,1
"53","hsa00380","Tryptophan metabolism - Homo sapiens (human)",1,41,1
"54","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",1,6,1
"55","hsa00410","beta-Alanine metabolism - Homo sapiens (human)",1,31,1
"56","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",1,16,1
"57","hsa00440","Phosphonate and phosphinate metabolism - Homo sapiens (human)",1,6,1
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",1,17,1
"59","hsa00470","D-Amino acid metabolism - Homo sapiens (human)",1,5,1
