"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",3.37987941917408e-76,274,1.13901936426167e-73
"328","hsa05020","Prion disease - Homo sapiens (human)",9.64679274819934e-68,260,1.62548457807159e-65
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.69679919333384e-67,292,1.90607109384501e-65
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",1.34272801636868e-65,439,1.13124835379061e-63
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.96143679768783e-62,125,4.0180084016416e-60
"324","hsa05012","Parkinson disease - Homo sapiens (human)",1.0441873755591e-60,234,5.86485242605692e-59
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",1.71900446776322e-59,348,8.2757786519458e-58
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",3.20569739703918e-29,187,1.35040002850276e-27
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",2.8391574956573e-26,202,1.06310675115168e-24
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",1.49125593353132e-24,149,5.02553249600056e-23
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",2.06528570167547e-23,44,6.32728437695122e-22
"251","hsa04360","Axon guidance - Homo sapiens (human)",2.17373027907149e-21,168,6.10455920039243e-20
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",1.70809509180896e-19,294,4.42790804568939e-18
"154","hsa04145","Phagosome - Homo sapiens (human)",2.29915482982805e-19,100,5.5343941260861e-18
"162","hsa04210","Apoptosis - Homo sapiens (human)",6.10596943734106e-19,131,1.37180780025596e-17
"257","hsa04714","Thermogenesis - Homo sapiens (human)",7.44850377377336e-17,180,1.56884110735102e-15
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",5.48524301985881e-15,108,1.08736876334848e-13
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",4.51934798654102e-14,111,8.46122373035735e-13
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.01135215411018e-13,101,1.793819347027e-12
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",1.37191006245309e-13,23,2.31166845523345e-12
"106","hsa03050","Proteasome - Homo sapiens (human)",2.68189346091573e-13,39,4.30380045870762e-12
"47","hsa00310","Lysine degradation - Homo sapiens (human)",4.95491997125385e-13,61,7.59003650142067e-12
"301","hsa05132","Salmonella infection - Homo sapiens (human)",7.2982997133529e-13,201,1.06935956669562e-11
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",4.57959729791207e-10,70,6.43051787248486e-09
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",2.02092423429315e-09,151,2.72420586782716e-08
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1.28033162422799e-08,227,1.65950675909551e-07
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",2.01530816055707e-08,41,2.51540314854715e-07
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",2.44972043152979e-08,119,2.94841351937692e-07
"163","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",1.24051122437676e-07,29,1.44155959522402e-06
"103","hsa04130","SNARE interactions in vesicular transport - Homo sapiens (human)",2.49996782054553e-07,20,2.80829718507948e-06
"170","hsa04530","Tight junction - Homo sapiens (human)",3.98233534770722e-07,163,4.32918391024946e-06
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",7.28579716178447e-07,186,7.67285513600426e-06
"287","hsa05170","Human immunodeficiency virus 1 infection - Homo sapiens (human)",1.73585331544723e-06,176,1.77267444638096e-05
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",2.49382706894672e-06,80,2.47182271245601e-05
"152","hsa04514","Cell adhesion molecules - Homo sapiens (human)",2.64751731479097e-06,82,2.54918095738444e-05
"303","hsa05135","Yersinia infection - Homo sapiens (human)",5.45616602341382e-06,131,5.1075776385846e-05
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",1.60852499573768e-05,102,0.000146506195557729
"168","hsa04510","Focal adhesion - Homo sapiens (human)",2.59459656922612e-05,200,0.000230099748376106
"183","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)",2.70769436353483e-05,89,0.000233972564233651
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",6.82549215388547e-05,137,0.000575047713964851
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",7.28713311135075e-05,119,0.000598966794762245
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",8.41784530927649e-05,71,0.000660577489389873
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",8.42873354414379e-05,107,0.000660577489389873
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",8.95086349574983e-05,93,0.000685554772288112
