"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"326","hsa05016","Huntington disease - Homo sapiens (human)",1.2446353738703e-77,274,4.19442120994292e-75
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",7.89770434217758e-72,292,1.33076318165692e-69
"328","hsa05020","Prion disease - Homo sapiens (human)",8.6933941993879e-62,260,9.76557948397908e-60
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",8.07410007409039e-59,439,6.80242931242116e-57
"324","hsa05012","Parkinson disease - Homo sapiens (human)",9.85116778561789e-57,234,6.63968708750646e-55
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.18916822394628e-53,125,2.35291615244983e-51
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",9.83777548708346e-44,348,4.73618619878161e-42
"257","hsa04714","Thermogenesis - Homo sapiens (human)",1.04511327912474e-31,180,4.40253968831299e-30
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.68966040093678e-26,187,6.32683950128549e-25
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",3.47570145156794e-22,108,1.1713113891784e-20
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",4.48229415952146e-22,149,1.37321193796248e-20
"173","hsa04814","Motor proteins - Homo sapiens (human)",1.9839481676142e-19,101,5.57158777071655e-18
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",4.81946237017935e-19,202,1.24935293750034e-17
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.83452089296907e-15,118,4.41595386378984e-14
"106","hsa03050","Proteasome - Homo sapiens (human)",5.25398160552787e-15,39,1.18039453404193e-13
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",1.5922642441945e-14,294,3.35370656433466e-13
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",5.65743339352238e-13,44,1.12150297271591e-11
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",8.05047371999317e-13,80,1.50722757979872e-11
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",1.01547522438304e-10,111,1.80113237166886e-09
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",3.9493017800896e-07,29,6.65457349945099e-06
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",6.15775596858749e-07,77,9.88173219720945e-06
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",7.74935196001621e-07,23,1.18705982296612e-05
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",1.03393966621417e-06,36,1.51494638049641e-05
"154","hsa04145","Phagosome - Homo sapiens (human)",1.3150964271344e-06,100,1.84661456643455e-05
"170","hsa04530","Tight junction - Homo sapiens (human)",1.57873448639911e-06,163,2.12813408766601e-05
"301","hsa05132","Salmonella infection - Homo sapiens (human)",2.20384639172341e-06,201,2.85652397696458e-05
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",6.11249032604159e-06,93,7.56596840115672e-05
"125","hsa04015","Rap1 signaling pathway - Homo sapiens (human)",6.53005244684372e-06,188,7.56596840115672e-05
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",6.55142355496391e-06,53,7.56596840115672e-05
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",6.8319001026083e-06,227,7.56596840115672e-05
"171","hsa04540","Gap junction - Homo sapiens (human)",6.95979289127176e-06,86,7.56596840115672e-05
"240","hsa04728","Dopaminergic synapse - Homo sapiens (human)",1.43212697093762e-05,120,0.000148056889313158
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",1.44981523659769e-05,41,0.000148056889313158
"209","hsa04926","Relaxin signaling pathway - Homo sapiens (human)",1.66057045724335e-05,117,0.000164591836497356
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",2.22953898064871e-05,138,0.000214672753279604
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",3.40141198254152e-05,85,0.000318409955032359
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",3.63179651298011e-05,75,0.000330787952668729
"251","hsa04360","Axon guidance - Homo sapiens (human)",3.76266206491266e-05,168,0.000333688714704097
"153","hsa04144","Endocytosis - Homo sapiens (human)",4.31051311711627e-05,129,0.00037247254370979
"124","hsa04014","Ras signaling pathway - Homo sapiens (human)",0.000104499985118401,209,0.000880412374622531
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.000207537591851683,63,0.00170585776717115
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.000218669693371713,123,0.00175456396824446
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",0.000230938119309905,67,0.00180991037691716
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",0.000252304021470824,97,0.00193241943717426
"254","hsa04213","Longevity regulating pathway - multiple species - Homo sapiens (human)",0.000306180164689412,59,0.00229294923334071
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",0.000511721418662591,214,0.00374891561063681
"210","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",0.000566399258185298,113,0.00406120319166905
"196","hsa04911","Insulin secretion - Homo sapiens (human)",0.00061840884562019,70,0.00434174543695841
"147","hsa04150","mTOR signaling pathway - Homo sapiens (human)",0.000726706731043647,151,0.00499796261962672
"255","hsa04710","Circadian rhythm - Homo sapiens (human)",0.000990607589024448,33,0.00667669515002478
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.00103737384653009,40,0.00685480365256157
"168","hsa04510","Focal adhesion - Homo sapiens (human)",0.00111204639892187,200,0.00720691608532055
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",0.00147370757281413,137,0.00937055569883702
"281","hsa05215","Prostate cancer - Homo sapiens (human)",0.00160956365531526,90,0.0100448694785415
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",0.00166708358685847,78,0.0102146757958419
"278","hsa05218","Melanoma - Homo sapiens (human)",0.00173317705848337,72,0.0104300119412303
"223","hsa04971","Gastric acid secretion - Homo sapiens (human)",0.0021738718137705,66,0.0128525403726431
"220","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",0.00233504673813421,137,0.0135674267370902
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",0.00276601262099576,119,0.015799089038569
"338","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)",0.00310312124464054,61,0.0174291976573977
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.00327119051242303,186,0.0175376672835149
"299","hsa05120","Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)",0.00327821493588962,70,0.0175376672835149
"145","hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)",0.00330028516969287,338,0.0175376672835149
"266","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)",0.00333059556719571,64,0.0175376672835149
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",0.0034944353655079,73,0.0181173033565563
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.00494098296133013,131,0.0252289584540645
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",0.00603348814278059,88,0.0300442358079542
"158","hsa04136","Autophagy - other - Homo sapiens (human)",0.00607037580839435,31,0.0300442358079542
"339","hsa05414","Dilated cardiomyopathy - Homo sapiens (human)",0.00615149041765234,85,0.0300442358079542
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",0.00624436050675956,10,0.0300621355825424
