"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"160","hsa04110","Cell cycle - Homo sapiens (human)",1.63192942482699e-21,120,5.46696357317042e-19
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",1.11007599707924e-11,55,1.85937729510773e-09
"168","hsa04510","Focal adhesion - Homo sapiens (human)",3.96965422504228e-11,180,4.43278055129722e-09
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",2.44879431727356e-09,57,2.05086524071661e-07
"162","hsa04210","Apoptosis - Homo sapiens (human)",2.57643391705845e-07,115,1.72621072442916e-05
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",3.94880857491376e-07,87,2.20475145432685e-05
"167","hsa04218","Cellular senescence - Homo sapiens (human)",6.89264596525692e-07,115,3.2986234262301e-05
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",9.7463019513784e-07,75,4.0812639421397e-05
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",2.40828013505411e-06,161,8.96415383603473e-05
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",1.0376618208084e-05,182,0.000330257724102
"260","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",1.09350043440316e-05,117,0.000330257724102
"108","hsa03030","DNA replication - Homo sapiens (human)",1.21621213681176e-05,7,0.000330257724102
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",1.28159713830627e-05,67,0.000330257724102
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",1.50590308436645e-05,86,0.000343493595192849
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",1.53803102325156e-05,110,0.000343493595192849
"302","hsa05131","Shigellosis - Homo sapiens (human)",1.84726214877855e-05,175,0.00038677051240051
"227","hsa04974","Protein digestion and absorption - Homo sapiens (human)",2.26572747328667e-05,27,0.000446481590324138
"303","hsa05135","Yersinia infection - Homo sapiens (human)",3.30907016012877e-05,115,0.000615854724246187
"326","hsa05016","Huntington disease - Homo sapiens (human)",3.62518931108431e-05,184,0.000639178115375391
"273","hsa05214","Glioma - Homo sapiens (human)",4.12047881209213e-05,66,0.000665854275830303
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",4.17401187833921e-05,144,0.000665854275830303
"193","hsa04670","Leukocyte transendothelial migration - Homo sapiens (human)",5.4573490024033e-05,85,0.000831005416275048
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",7.36671655882121e-05,76,0.00107297828139352
"261","hsa05205","Proteoglycans in cancer - Homo sapiens (human)",0.00020150235294706,160,0.00281263700988605
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.000255278357507355,72,0.00342072999059855
"328","hsa05020","Prion disease - Homo sapiens (human)",0.000347000526984863,191,0.00430887667098784
"191","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)",0.000347282597363199,59,0.00430887667098784
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",0.000456281276557822,95,0.0054590795588168
