"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"160","hsa04110","Cell cycle - Homo sapiens (human)",4.14430014032707e-23,120,1.38834054700957e-20
"134","hsa04630","JAK-STAT signaling pathway - Homo sapiens (human)",7.1814384195797e-13,136,1.2028909352796e-10
"145","hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)",4.85387149477631e-12,283,5.42015650250022e-10
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",1.35193579102726e-10,55,9.32113103719428e-09
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",1.39121358764094e-10,161,9.32113103719428e-09
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",5.00582638384016e-10,59,2.79491973097742e-08
"288","hsa05161","Hepatitis B - Homo sapiens (human)",1.82194328141307e-09,140,8.71929998961968e-08
"188","hsa04659","Th17 cell differentiation - Homo sapiens (human)",1.25987526750697e-08,78,5.27572768268544e-07
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",3.16753124489637e-08,87,1.17902551893365e-06
"281","hsa05215","Prostate cancer - Homo sapiens (human)",2.27559123290185e-07,82,7.48656764176651e-06
"292","hsa05162","Measles - Homo sapiens (human)",2.45827594207259e-07,112,7.48656764176651e-06
"278","hsa05218","Melanoma - Homo sapiens (human)",2.9406556334707e-07,61,7.9446373312236e-06
"258","hsa05200","Pathways in cancer - Homo sapiens (human)",3.35122006561526e-07,428,7.9446373312236e-06
"296","hsa05169","Epstein-Barr virus infection - Homo sapiens (human)",3.53995368759351e-07,157,7.9446373312236e-06
"161","hsa04114","Oocyte meiosis - Homo sapiens (human)",3.55730029756281e-07,86,7.9446373312236e-06
"122","hsa04010","MAPK signaling pathway - Homo sapiens (human)",5.5644039455156e-07,250,1.16504707609233e-05
"260","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",1.28268649396473e-06,117,2.52764691457755e-05
"186","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)",1.46489389546759e-06,95,2.72633030545357e-05
"268","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)",2.11231520760028e-06,76,3.72434523445312e-05
"317","hsa05323","Rheumatoid arthritis - Homo sapiens (human)",2.3944126495183e-06,53,4.01064118794315e-05
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",2.84085999740699e-06,144,4.53184809110162e-05
"187","hsa04658","Th1 and Th2 cell differentiation - Homo sapiens (human)",3.32435960574476e-06,66,5.06209303602042e-05
"346","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)",3.97904431421573e-06,119,5.79556454461856e-05
"259","hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)",5.91512948039672e-06,84,8.25653489972042e-05
"138","hsa04068","FoxO signaling pathway - Homo sapiens (human)",7.80040351521614e-06,98,0.000104525407103896
"167","hsa04218","Cellular senescence - Homo sapiens (human)",8.19059851316348e-06,115,0.000105532711611914
"261","hsa05205","Proteoglycans in cancer - Homo sapiens (human)",9.36752707782459e-06,160,0.00011622672485449
"270","hsa05212","Pancreatic cancer - Homo sapiens (human)",1.10938715350288e-05,75,0.000132730248722667
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",1.60173843479041e-05,110,0.000185028405398202
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",1.69731425860652e-05,57,0.000189533425544394
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",1.87250130495821e-05,87,0.000202350947471291
"319","hsa05321","Inflammatory bowel disease - Homo sapiens (human)",2.13938836203597e-05,39,0.00022396721915064
"104","hsa04120","Ubiquitin mediated proteolysis - Homo sapiens (human)",2.46305131554082e-05,55,0.000250037027486719
"275","hsa05221","Acute myeloid leukemia - Homo sapiens (human)",2.91605781434148e-05,64,0.00028731746111894
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",3.347789328989e-05,140,0.00032043126434609
"273","hsa05214","Glioma - Homo sapiens (human)",3.6208727840809e-05,66,0.000336942328518639
"137","hsa04066","HIF-1 signaling pathway - Homo sapiens (human)",4.24307166565485e-05,88,0.000384170002160642
"276","hsa05220","Chronic myeloid leukemia - Homo sapiens (human)",4.69594369182097e-05,73,0.000413984509673691
"252","hsa04380","Osteoclast differentiation - Homo sapiens (human)",5.49617169125443e-05,115,0.000472107055530829
"312","hsa05140","Leishmaniasis - Homo sapiens (human)",5.77216710556098e-05,54,0.000483418995090732
"302","hsa05131","Shigellosis - Homo sapiens (human)",6.83939752408822e-05,175,0.000548334813678138
"157","hsa04140","Autophagy - animal - Homo sapiens (human)",6.87464542521844e-05,94,0.000548334813678138
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",8.11819716546205e-05,67,0.000632464197774369
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",8.3422515399665e-05,9,0.000635148696792904
"291","hsa05164","Influenza A - Homo sapiens (human)",8.57415877198584e-05,108,0.000638298486358946
"290","hsa05171","Coronavirus disease - COVID-19 - Homo sapiens (human)",9.95874455124206e-05,112,0.000725256396666541
"303","hsa05135","Yersinia infection - Homo sapiens (human)",0.000109382215969463,115,0.00077963919893128
"168","hsa04510","Focal adhesion - Homo sapiens (human)",0.00012485477314334,180,0.000853773921746593
"307","hsa05152","Tuberculosis - Homo sapiens (human)",0.000124880364673382,112,0.000853773921746593
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",0.000151112193688215,91,0.00101245169771104
