"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"163","hsa04215","Apoptosis - multiple species - Homo sapiens (human)",1.04424437416459e-25,26,3.49821865345136e-23
"274","hsa05216","Thyroid cancer - Homo sapiens (human)",4.69053309996905e-20,34,7.85664294244816e-18
"277","hsa05217","Basal cell carcinoma - Homo sapiens (human)",1.51341191647238e-16,42,1.68997664006083e-14
"282","hsa05213","Endometrial cancer - Homo sapiens (human)",1.92622244314559e-13,53,1.61321129613443e-11
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",5.20929252837299e-13,55,3.4902259940099e-11
"102","hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)",2.03942211235319e-12,58,1.13867734606387e-10
"278","hsa05218","Melanoma - Homo sapiens (human)",6.98986105906839e-12,61,3.34514779255416e-10
"273","hsa05214","Glioma - Homo sapiens (human)",4.2562614874791e-11,66,1.78230949788187e-09
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",5.91607102704392e-11,67,2.20209310451079e-09
"253","hsa04211","Longevity regulating pathway - Homo sapiens (human)",1.11107472237949e-10,69,3.72210031997131e-09
"276","hsa05220","Chronic myeloid leukemia - Homo sapiens (human)",3.53722260304555e-10,73,1.07724506547296e-08
"270","hsa05212","Pancreatic cancer - Homo sapiens (human)",6.02886940836348e-10,75,1.68305937650147e-08
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",9.99824664941101e-10,77,2.57647125196361e-08
"259","hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)",4.86900961984333e-09,84,1.16508444474823e-07
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",8.88497340966554e-09,87,1.98431072815864e-07
"142","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)",1.55845947274653e-08,90,3.07108190217698e-07
"165","hsa04217","Necroptosis - Homo sapiens (human)",1.55845947274653e-08,90,3.07108190217698e-07
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",1.86430620927577e-08,91,3.46968100059656e-07
"246","hsa04722","Neurotrophin signaling pathway - Homo sapiens (human)",1.2250859374992e-07,103,2.16001994243279e-06
"291","hsa05164","Influenza A - Homo sapiens (human)",2.37702644338557e-07,108,3.79192313587698e-06
"293","hsa05168","Herpes simplex virus 1 infection - Homo sapiens (human)",2.37702644338557e-07,108,3.79192313587698e-06
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",3.04772522646431e-07,110,4.64085432211611e-06
"272","hsa05226","Gastric cancer - Homo sapiens (human)",3.43964290081031e-07,111,4.80116821571439e-06
"283","hsa05224","Breast cancer - Homo sapiens (human)",3.43964290081031e-07,111,4.80116821571439e-06
"292","hsa05162","Measles - Homo sapiens (human)",3.87372918319909e-07,112,4.99115106296806e-06
"307","hsa05152","Tuberculosis - Homo sapiens (human)",3.87372918319909e-07,112,4.99115106296806e-06
