"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"328","hsa05020","Prion disease - Homo sapiens (human)",2.89869958510332e-20,235,9.76861760179818e-18
"40","hsa00230","Purine metabolism - Homo sapiens (human)",1.82223781031763e-19,100,3.07047071038521e-17
"324","hsa05012","Parkinson disease - Homo sapiens (human)",5.50119484173152e-16,211,6.17967553887841e-14
"171","hsa04540","Gap junction - Homo sapiens (human)",9.44101504553375e-16,84,7.05111722221874e-14
"248","hsa04740","Olfactory transduction - Homo sapiens (human)",1.04615982525501e-15,72,7.05111722221874e-14
"323","hsa05010","Alzheimer disease - Homo sapiens (human)",2.47071050026537e-15,319,1.38771573098238e-13
"329","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)",6.10874578565107e-15,391,2.9409247568063e-13
"257","hsa04714","Thermogenesis - Homo sapiens (human)",1.73322485184618e-13,155,7.30120968840204e-12
"32","hsa00561","Glycerolipid metabolism - Homo sapiens (human)",5.69184706805973e-13,46,2.13128051326237e-11
"326","hsa05016","Huntington disease - Homo sapiens (human)",7.66883532621863e-13,241,2.58439750493568e-11
"139","hsa04020","Calcium signaling pathway - Homo sapiens (human)",1.09325008983731e-12,201,3.23863287442918e-11
"325","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)",1.15322238852078e-12,249,3.23863287442918e-11
"143","hsa04024","cAMP signaling pathway - Homo sapiens (human)",8.74265717393689e-12,166,2.12690846561644e-10
"242","hsa04720","Long-term potentiation - Homo sapiens (human)",8.83582151888136e-12,64,2.12690846561644e-10
"196","hsa04911","Insulin secretion - Homo sapiens (human)",1.52994851316499e-11,62,3.43728432624402e-10
"23","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.89596653816936e-11,104,3.99337952101922e-10
"208","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)",5.04987787491045e-11,121,1.00106402579107e-09
"244","hsa04723","Retrograde endocannabinoid signaling - Homo sapiens (human)",1.90907587695913e-10,93,3.57421428075127e-09
"33","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)",4.39793771470768e-10,71,7.8005526834552e-09
"221","hsa04270","Vascular smooth muscle contraction - Homo sapiens (human)",6.19211191848058e-09,118,1.04337085826398e-07
"47","hsa00310","Lysine degradation - Homo sapiens (human)",2.31251472614134e-08,50,3.71103553671253e-07
"203","hsa04912","GnRH signaling pathway - Homo sapiens (human)",3.87329421131838e-08,84,5.9331824964286e-07
"298","hsa05110","Vibrio cholerae infection - Homo sapiens (human)",5.99966836341606e-08,37,8.7908184281357e-07
"144","hsa04022","cGMP-PKG signaling pathway - Homo sapiens (human)",8.99667040521697e-08,135,1.26328246939922e-06
"217","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)",1.96385965795194e-07,73,2.64728281891922e-06
"228","hsa04975","Fat digestion and absorption - Homo sapiens (human)",2.24278061295534e-07,27,2.90698871756134e-06
"222","hsa04970","Salivary secretion - Homo sapiens (human)",3.57194653531961e-07,58,4.45831845334337e-06
"224","hsa04972","Pancreatic secretion - Homo sapiens (human)",3.84619378296901e-07,67,4.62916894593056e-06
"223","hsa04971","Gastric acid secretion - Homo sapiens (human)",5.62083766940346e-07,59,6.53180101582402e-06
"256","hsa04713","Circadian entrainment - Homo sapiens (human)",7.99256449643757e-07,77,8.97831411766487e-06
"239","hsa04725","Cholinergic synapse - Homo sapiens (human)",9.72669612189618e-07,82,1.05738599776742e-05
"154","hsa04145","Phagosome - Homo sapiens (human)",1.28533280649767e-06,94,1.35361611184286e-05
"340","hsa05415","Diabetic cardiomyopathy - Homo sapiens (human)",1.74056164510803e-06,169,1.77748264970123e-05
"34","hsa00565","Ether lipid metabolism - Homo sapiens (human)",2.40898899999811e-06,33,2.38773321470401e-05
"192","hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)",3.1232744187851e-06,88,3.00726708323022e-05
"243","hsa04730","Long-term depression - Homo sapiens (human)",3.50503650659174e-06,54,3.2811036186706e-05
"78","hsa00760","Nicotinate and nicotinamide metabolism - Homo sapiens (human)",6.46668662713859e-06,25,5.88992809012352e-05
"237","hsa04724","Glutamatergic synapse - Homo sapiens (human)",7.76724807083222e-06,68,6.88832263123805e-05
"245","hsa04721","Synaptic vesicle cycle - Homo sapiens (human)",9.01949660079755e-06,38,7.79377013966353e-05
"29","hsa00100","Steroid biosynthesis - Homo sapiens (human)",1.1183779047685e-05,17,9.42233384767459e-05
"218","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)",1.30819831131339e-05,49,0.000107527519734784
"141","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)",1.44000600977032e-05,129,0.00011554333935538
"333","hsa05033","Nicotine addiction - Homo sapiens (human)",1.61138664392677e-05,10,0.000126287743954261
"301","hsa05132","Salmonella infection - Homo sapiens (human)",1.66245453040171e-05,187,0.000127328903805767
"232","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)",1.90810134430066e-05,34,0.000142895589562072
"215","hsa04924","Renin secretion - Homo sapiens (human)",2.09505448031931e-05,55,0.000153485513014697
"220","hsa04261","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)",2.29518295713456e-05,123,0.000164569501394542
"334","hsa05034","Alcoholism - Homo sapiens (human)",2.42105423902878e-05,88,0.000169978183031812
"174","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)",2.69203368644155e-05,209,0.000185145990271592
"267","hsa05231","Choline metabolism in cancer - Homo sapiens (human)",3.92502196219069e-05,80,0.000264546480251653
"249","hsa04742","Taste transduction - Homo sapiens (human)",5.31523099978904e-05,24,0.000351222126848805
"41","hsa00240","Pyrimidine metabolism - Homo sapiens (human)",5.46528649171414e-05,44,0.000354192605328397
"127","hsa04330","Notch signaling pathway - Homo sapiens (human)",6.15616598541737e-05,51,0.000391439233412387
"42","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",6.86955188095186e-05,28,0.000428710922940885
"173","hsa04814","Motor proteins - Homo sapiens (human)",8.62442123630353e-05,87,0.000528441810297143
"132","hsa04370","VEGF signaling pathway - Homo sapiens (human)",0.000103954276990997,52,0.000625581988320823
"331","hsa05031","Amphetamine addiction - Homo sapiens (human)",0.000144920942863108,57,0.000856813293769602
"330","hsa05030","Cocaine addiction - Homo sapiens (human)",0.000153077867305307,39,0.000889435194515316
"148","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.000254736587526976,160,0.00145502084739985
"332","hsa05032","Morphine addiction - Homo sapiens (human)",0.000285250244258955,56,0.0016021555385878
"264","hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)",0.00030604533785533,183,0.00169077506323354
"238","hsa04727","GABAergic synapse - Homo sapiens (human)",0.000320846571410339,47,0.0017439563639562
"300","hsa05130","Pathogenic Escherichia coli infection - Homo sapiens (human)",0.000413272986551213,169,0.00221068248361522
"211","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)",0.000505531170150076,52,0.00264666088273235
"327","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)",0.000510483553049266,109,0.00264666088273235
"48","hsa00220","Arginine biosynthesis - Homo sapiens (human)",0.000548821960874113,15,0.00280231819416025
"213","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",0.000587900683419683,73,0.00295705269123034
"58","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.00062403723657376,13,0.00309265512831408
"44","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)",0.000688044854343717,44,0.00336045095527294
"308","hsa05100","Bacterial invasion of epithelial cells - Homo sapiens (human)",0.000705119734346012,69,0.00339464786392295
"170","hsa04530","Tight junction - Homo sapiens (human)",0.00092370602184381,145,0.00438435111776569
"178","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)",0.00106712971381116,92,0.00499475991047722
"236","hsa04966","Collecting duct acid secretion - Homo sapiens (human)",0.00112146407613659,19,0.00517716977613739
"306","hsa05150","Staphylococcus aureus infection - Homo sapiens (human)",0.00115291584186473,32,0.00525044106362722
"10","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.00148409946817078,29,0.00658196162770115
"83","hsa00670","One carbon pool by folate - Homo sapiens (human)",0.00148435929882875,15,0.00658196162770115
"235","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)",0.00169298012543077,15,0.00740953639311907
"210","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)",0.00184313446475718,107,0.00796328608491241
"219","hsa04260","Cardiac muscle contraction - Homo sapiens (human)",0.0020975774339081,68,0.00894789361046871
"234","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)",0.00253151488769566,38,0.010664006464418
"133","hsa04371","Apelin signaling pathway - Homo sapiens (human)",0.00274256221399349,110,0.0114104131619235
"279","hsa05211","Renal cell carcinoma - Homo sapiens (human)",0.00415744107133604,66,0.0170860687931737
