"","pathway.code","pathway.name","p.value","Annotated","adj_p.value"
"168","hsa04510","Focal adhesion - Homo sapiens (human)",1.19899250173688e-22,180,4.01662488081856e-20
"134","hsa04630","JAK-STAT signaling pathway - Homo sapiens (human)",7.76159185508539e-21,136,1.3000666357268e-18
"166","hsa04115","p53 signaling pathway - Homo sapiens (human)",8.3394728523296e-16,55,9.31241135176805e-14
"145","hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)",4.88506328524909e-13,283,4.09124050139611e-11
"273","hsa05214","Glioma - Homo sapiens (human)",6.14498550320889e-13,66,4.11714028714996e-11
"284","hsa05222","Small cell lung cancer - Homo sapiens (human)",9.30944136264396e-13,87,5.19777142747621e-11
"278","hsa05218","Melanoma - Homo sapiens (human)",1.12687859513967e-12,61,5.39291899102556e-11
"151","hsa04512","ECM-receptor interaction - Homo sapiens (human)",2.30457174070076e-12,75,9.65039416418441e-11
"162","hsa04210","Apoptosis - Homo sapiens (human)",8.29291830951958e-12,115,3.08680848187673e-10
"140","hsa04070","Phosphatidylinositol signaling system - Homo sapiens (human)",1.37575864548346e-11,74,4.60879146236958e-10
"260","hsa05206","MicroRNAs in cancer - Homo sapiens (human)",2.84045676300786e-11,117,8.65048196006938e-10
"90","hsa00980","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)",5.56501473873195e-11,38,1.55356661456267e-09
"258","hsa05200","Pathways in cancer - Homo sapiens (human)",2.54219782825252e-10,428,6.55104824972764e-09
"22","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)",7.22319491969037e-10,60,1.72840735578305e-08
"167","hsa04218","Cellular senescence - Homo sapiens (human)",2.62246801319026e-09,115,5.85684522945824e-08
"292","hsa05162","Measles - Homo sapiens (human)",4.34110996917026e-09,112,9.08919899795023e-08
"276","hsa05220","Chronic myeloid leukemia - Homo sapiens (human)",5.64278704814653e-09,73,1.11196097713476e-07
"286","hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)",8.07769541960835e-08,161,1.50334886976044e-06
"348","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)",1.41282033196141e-07,91,2.49102532214249e-06
"285","hsa05223","Non-small cell lung cancer - Homo sapiens (human)",1.5005655935999e-07,67,2.51344736927984e-06
"288","hsa05161","Hepatitis B - Homo sapiens (human)",2.4719831981141e-07,140,3.94340176842011e-06
"91","hsa00982","Drug metabolism - cytochrome P450 - Homo sapiens (human)",3.70762507079e-07,40,5.64570181233931e-06
"160","hsa04110","Cell cycle - Homo sapiens (human)",1.37325657654073e-06,120,1.98654102313202e-05
"270","hsa05212","Pancreatic cancer - Homo sapiens (human)",1.423193568811e-06,75,1.98654102313202e-05
"269","hsa05210","Colorectal cancer - Homo sapiens (human)",1.96995282669963e-06,77,2.63973678777751e-05
"84","hsa00830","Retinol metabolism - Homo sapiens (human)",2.07177647492929e-06,33,2.66940430423581e-05
"281","hsa05215","Prostate cancer - Homo sapiens (human)",4.78254176508617e-06,82,5.93389441223655e-05
"265","hsa05203","Viral carcinogenesis - Homo sapiens (human)",1.00096689737559e-05,110,0.000119758539507437
"184","hsa04650","Natural killer cell mediated cytotoxicity - Homo sapiens (human)",1.42265616389115e-05,87,0.000164341315483978
"319","hsa05321","Inflammatory bowel disease - Homo sapiens (human)",1.53043025455108e-05,39,0.000170898045091537
"336","hsa05418","Fluid shear stress and atherosclerosis - Homo sapiens (human)",1.82284361308775e-05,106,0.000196984713027225
"307","hsa05152","Tuberculosis - Homo sapiens (human)",2.66491371146568e-05,112,0.000276687335106317
